dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_1822w
ALPHA,0.1
G_Size,5
task_id,prediction_label
3,3.6806314775110582
0,3.6852729360220664
7,3.7557119957081917
14,3.3567524498398185
20,4.20609886517527
21,4.014929455410795
298,3.7232138559451737
297,3.9209231813055623
25,4.075612514475699
294,3.6672785603788234
293,4.164149818294972
40,4.100438982352901
41,3.862634668368522
44,3.8722243008743695
272,3.724786860483079
270,3.9105928169780766
60,4.530593585415154
66,4.394740217563266
70,4.022270279207649
100,3.4721353411927427
199,4.599894115015604
194,3.9000307631592137
300,4.067969039621694
62,3.3997779280351184
67,3.396744420491498
254,3.3968449667978717
244,4.599978881185999
234,3.365453462873666
93,3.1277356851630804
105,4.012562590667461
158,4.588864282027415
154,4.585454328990695
5,4.074661374244991
6,4.058056973573458
42,3.0758958820854936
45,4.086551589415569
46,4.108461074529312
73,4.092538279845416
74,3.690820714167629
152,4.099995566099596
4,3.891101337571333
308,4.103816941650952
9,3.7735724152431582
11,3.79030902793964
12,3.8476042846553797
15,4.104883655636069
304,4.039449014040361
301,4.099984090427983
295,4.438012706508063
28,4.574373250698472
32,3.8237183183060504
33,3.3990227197773266
37,4.4002303492954615
38,4.067713452586042
39,3.933671687653862
43,3.9462895287692246
49,3.702948366348751
50,4.06714211704617
51,4.099009013904241
54,4.097572619202511
271,3.3860088181461467
269,3.9000082536944123
56,3.76508740845298
268,3.7115402470968855
58,3.913980150720462
59,3.3975255628365293
264,3.7025165698942715
61,3.7255346173842225
263,3.950511006842643
262,3.732253708512897
63,3.6506051878787025
64,3.8928951312076494
65,4.390109160626077
261,3.89581021952934
260,4.129385628177796
258,4.1243664291745805
257,4.400286726352139
256,3.3974674434153322
75,3.9000555647215194
251,4.006211180004857
249,4.05923834415447
246,3.399967153507233
240,4.4250666183616545
239,3.7299082868012388
238,4.43630721877615
85,3.4054878175178045
88,3.940881701879739
89,4.205054570152089
91,3.816234495138066
92,4.016276780437768
94,3.7100508477904124
95,4.0942007995367815
212,4.052063525562315
211,4.59859374086365
112,3.3999962397490937
193,4.1022522354341895
8,3.1002019545115056
16,3.9001965909195526
17,3.996019252445923
18,3.878461020395552
19,3.399407705167785
299,4.066966662090205
24,3.941520468375194
30,4.065323465532186
71,4.08987337590609
242,3.700495493148367
236,4.032650647544107
96,3.699810087845239
97,3.3997465044490895
98,3.3998470083403656
101,3.8680074199537455
102,4.090159343659646
103,3.7000018769402363
106,3.8718965392689753
107,3.713095840771404
108,3.928375347017454
109,3.3857673941490596
114,3.9213666888129817
115,3.7574380877469484
302,4.098204549210808
252,4.093437961916574
233,4.100878928355717
86,4.060282865928904
231,4.088869459927343
90,3.7529508901239743
245,4.433899433930656
34,4.401963725263012
36,3.7035646330426797
78,3.400557621292117
113,4.079684586452226
306,4.3922058195310845
307,4.599798374260349
13,3.854358728753848
305,4.399804774225653
303,4.094185041882887
26,4.400560617387441
232,3.706431445261066
222,4.096205969582807
217,4.105548338421148
134,3.9008791276924586
138,4.573786160229664
140,4.0999999999202075
142,4.401573277862184
170,4.0965937033061826
143,3.7069887178475147
167,4.0
166,4.4002889608523095
165,4.0
163,4.0984312951443655
160,4.102434476226199
159,3.700005446140648
156,3.399820073470256
157,3.999999996703614
296,4.094159511853465
83,3.889247971669898
290,3.7000074465648245
277,4.099919279282034
237,4.097858556365496
110,3.100000000381202
57,4.108684442051485
275,4.082404707566044
69,4.0656863148077615
235,3.404231746393446
202,3.900000003148017
1,3.401478855181658
53,4.0872729751567105
2,4.099405262700715
31,4.082196482218773
243,4.11932359600892
119,4.400009395497557
192,3.916058036318062
29,3.9001193893693507
283,3.9126026847483
280,4.105476712663504
267,3.1003487290461447
266,3.957346091587051
76,3.928627485861672
250,3.701600770786069
248,4.0398814500396805
82,3.399981177322462
198,3.999163002819044
178,3.9000000000055133
27,4.1036219435814925
169,3.9000000630099225
10,4.076136512370973
84,4.099836223938769
35,4.0080735769695925
188,3.900000000001567
146,4.103950241231825
203,4.099999999984552
247,3.9225019156174654
23,4.097415573524594
161,4.099999925662453
204,4.101903824092854
191,4.50673624000366
52,3.974979235580387
255,4.104449122673947
104,4.102289804521209
291,3.7000001938013094
47,4.4006241889972015
48,4.096494350141162
259,3.999627789273882
72,4.098346080303367
77,3.3987303763714554
80,3.39988933279944
205,3.7000680953281115
196,4.066385833654436
285,4.100609480046868
135,4.099062323947491
176,4.1
55,4.09114706383647
