dataset,DouBanDatasets_RedundancyCut/Douban_202t_217w_6r
ALPHA,0.1
G_Size,5
Iteration Count,102
worker_id,worker_ability
0,0.11591860785485793
1,0.0647803536478942
2,0.04809286924577743
3,0.1680761218686365
4,0.0822881084580747
5,0.1965464897436434
6,0.4923811462820723
7,0.05500175118603916
8,0.06827466944300035
9,0.0608461566875678
10,0.19897678784276648
11,0.32873274619523346
12,0.19067463368523338
13,0.11211787659216446
14,0.18798945579023307
15,0.3643013238998201
16,0.17667954141399037
17,0.15041918643660085
18,0.09799522723486108
19,0.14366283724961068
20,0.12539122427216556
21,0.1542275223166846
22,0.2588369213996991
23,0.24072016269293164
24,0.05666724247424388
25,0.03695467218995803
26,0.15157993451107504
27,0.3622760514150658
28,0.19127282491162836
29,0.5382460583795452
30,0.14981108740009572
31,0.3928601592978842
32,0.23317913955308747
33,0.10331535165735943
34,0.05549608165016755
35,0.15210304604083916
36,0.06887288004918699
37,0.012670170483980421
38,0.1903827467486402
39,0.15296792723028307
40,0.1407599590691575
41,0.11589204204581244
42,0.12268871201638056
43,0.38162469675702126
44,0.05535011044104946
45,0.5425161869661229
46,0.22459361379640772
47,0.07221362179731575
48,0.22195109143256284
49,0.2357148772036518
50,0.20991283519218054
51,0.2326387935301798
52,0.18062931034560378
53,0.18431586948126405
54,0.5313920747499362
55,0.07407509826123485
56,0.09454308412989422
57,0.21333340073769164
58,0.13031080470036632
59,0.37474060729246417
60,0.17493719625735235
61,0.15156384047755803
62,0.15149949227619244
63,0.03562230694208021
64,0.03713867511124099
65,0.2201132119363581
66,0.19620562445604925
67,0.23586551744140333
68,0.2067719513547301
69,0.04129608132495474
70,0.239840151152234
71,0.052479033066968675
72,0.06548282860937236
73,0.12145014488005768
74,0.07888528853150395
75,0.02432713945679607
76,0.09443598146546366
77,0.22303106922885357
78,0.12254130926123537
79,0.057192682658647305
80,0.1411752281443251
81,0.09458057040277659
82,0.06062166503058204
83,0.2218164778795809
84,0.0453376769709123
85,0.03779602085794556
86,0.03786021279422903
87,0.133730883818775
88,0.04009571685974613
89,0.05334684625177023
90,0.07749239909197354
91,0.13912050557232813
92,0.18849339243141852
93,0.04588300340539298
94,0.05644058929936186
95,0.08887796785685963
96,0.21552538437889365
97,0.1324409764197685
98,0.2599304957846611
99,0.10864183524229486
100,0.15675095693377056
101,0.10619722184086805
102,0.05578697829361059
103,0.18761829050486734
104,0.018898129692558857
105,0.20359679375940445
106,0.16395498613247647
107,0.48882816998411355
108,0.15179598303369637
109,0.055821672005393556
110,0.08402051644224721
111,0.07740282988934305
112,0.05559938095056012
113,0.09260300936592503
114,0.037796388205827106
115,0.1948942368777131
116,0.18350086829767498
117,0.5214489341177688
118,0.171158944014378
119,0.09724460441249895
120,0.12831321955744063
121,0.2070951524732787
122,0.20252219853247722
123,0.08290186226155012
124,0.00035587399658585246
125,0.05059088758881998
126,0.13280471303893757
127,0.05627491331499649
128,0.1009400197942612
129,0.09514068756514212
130,0.02490887010126514
131,0.054750601653261934
132,0.05066780473225648
133,0.20778088970010541
134,0.09424154006072565
135,0.25001727147072456
136,0.10377288492709132
137,0.2584405279451097
138,0.10739081137918356
139,0.1786572262642069
140,0.09487550258375073
141,0.1617218258422389
142,0.4932788343107862
143,0.1941447638162168
144,0.04747921317100923
145,0.18892872318141576
146,1.548574096771071e-07
147,0.08448170689686245
148,0.09486521134230186
149,0.09464492531084516
150,0.06395434183037708
151,0.017078784671888277
152,0.055409894398451634
153,0.15978365317912946
154,0.22424660779636504
155,0.09405596914625178
156,0.15231485992484706
157,0.09156530250105345
158,0.07453355562123924
159,0.05494377845875663
160,0.09384970752527065
161,0.06698538145632495
162,0.15137955305777842
163,0.024327134060477113
164,0.14202993470363182
165,0.28372512836659747
166,0.09456909132838918
167,0.12022182177994645
168,0.20047554560566133
169,0.20047554560566133
170,0.09341348499591107
171,0.09273502428010667
172,0.24934349144973725
173,0.037854000358444335
174,0.043082566226998464
175,0.020735192657096523
176,0.17959132216522541
177,0.010151545091233375
178,0.17461401173817656
179,0.10787329209331215
180,0.018922288676112703
181,0.14809272822247033
182,0.026659356059739413
183,0.25965544273015556
184,0.06699380227384753
185,0.24516782925800262
186,0.1596612717822453
187,0.3146269047048092
188,0.1837535388807967
189,0.19887184194096083
190,0.15224429127507058
191,0.3137365845302848
192,0.20180759246606025
193,0.08035794831040499
194,0.13245970789584244
195,0.13542775682022665
196,0.08971981105944277
197,0.283670321844736
198,0.0849147095148287
199,0.05674429130280573
200,0.11120319195236247
201,0.18853259071700787
202,0.15140758441688312
203,0.1511597354781132
204,0.1511597354781132
205,0.04433883800146153
206,0.22663467156589975
207,0.15160874720594056
208,0.11700183852869706
209,0.17080402027312594
210,0.00020713925320127083
211,0.027484399906289803
212,0.08304613385345695
213,0.1634127162751003
214,0.353542918612145
215,0.20719359949043398
216,0.20719359949043398
