xxx,xxx
0,0.0025564550489987218
1,0.00042607584149978694
2,0.0008521516829995739
3,0.00042607584149978694
4,0.018321261184490838
5,0.0012782275244993609
6,0.0038346825734980826
7,0.00042607584149978694
8,0.0034086067319982955
9,0.00042607584149978694
10,0.0008521516829995739
11,0.0008521516829995739
12,0.007669365146996165
13,0.00042607584149978694
14,0.0025564550489987218
15,0.0021303792074989347
16,0.00042607584149978694
17,0.0008521516829995739
18,0.0021303792074989347
19,0.0012782275244993609
20,0.00042607584149978694
21,0.002982530890498509
22,0.002982530890498509
23,0.0587984661269706
24,0.03834682573498083
25,0.02258201959948871
26,0.00042607584149978694
27,0.00042607584149978694
28,0.00042607584149978694
29,0.02258201959948871
30,0.0012782275244993609
31,0.034086067319982954
32,0.00042607584149978694
33,0.0008521516829995739
34,0.00042607584149978694
35,0.004686834256497656
36,0.0008521516829995739
37,0.010651896037494673
38,0.016616957818491693
39,0.0008521516829995739
40,0.00042607584149978694
41,0.02982530890498509
42,0.014912654452492544
43,0.0025564550489987218
44,0.020451640391989774
45,0.0021303792074989347
46,0.02556455048998722
47,0.0025564550489987218
48,0.016616957818491693
49,0.03749467405198125
50,0.03365999147848317
51,0.02556455048998722
52,0.03749467405198125
53,0.02386024712398807
54,0.024286322965487855
55,0.005965061780997018
56,0.018321261184490838
57,0.0021303792074989347
58,0.007243289305496378
59,0.00042607584149978694
60,0.014486578610992756
61,0.011930123561994035
62,0.005965061780997018
63,0.00042607584149978694
64,0.010651896037494673
65,0.0051129100979974435
66,0.004686834256497656
67,0.0012782275244993609
68,0.00042607584149978694
69,0.0097997443544951
70,0.017043033659991477
71,0.0021303792074989347
72,0.007243289305496378
73,0.0008521516829995739
74,0.04218150830847891
75,0.033233915636983385
76,0.0012782275244993609
77,0.0021303792074989347
78,0.0012782275244993609
79,0.01278227524499361
80,0.00042607584149978694
81,0.05070302513847465
82,0.0008521516829995739
83,0.0017043033659991478
84,0.012356199403493822
85,0.0008521516829995739
86,0.00042607584149978694
87,0.02556455048998722
88,0.0021303792074989347
89,0.013634426927993182
90,0.03962505325948019
91,0.002982530890498509
92,0.00042607584149978694
93,0.009373668512995313
94,0.002982530890498509
95,0.007669365146996165
96,0.023434171282488283
97,0.00042607584149978694
98,0.0017043033659991478
99,0.03706859821048147
100,0.00042607584149978694
101,0.00042607584149978694
102,0.0012782275244993609
103,0.0008521516829995739
104,0.0008521516829995739
105,0.002982530890498509
106,0.021303792074989347
107,0.00042607584149978694
108,0.017469109501491265
109,0.015764806135492117
110,0.00042607584149978694
111,0.0008521516829995739
112,0.017043033659991477
113,0.0008521516829995739
114,0.0012782275244993609
115,0.00042607584149978694
116,0.05155517682147422
117,0.024286322965487855
118,0.0021303792074989347
119,0.00042607584149978694
120,0.0008521516829995739
121,0.00042607584149978694
122,0.0021303792074989347
123,0.016616957818491693
124,0.0012782275244993609
125,0.00042607584149978694
126,0.0195994887089902
127,0.0008521516829995739
128,0.022155943757988922
129,0.0017043033659991478
130,0.0008521516829995739
131,0.020451640391989774
132,0.0012782275244993609
133,0.00042607584149978694
134,0.020877716233489562
135,0.0025564550489987218
136,0.006817213463996591
137,0.020877716233489562
138,0.0008521516829995739
139,0.0021303792074989347
140,0.0017043033659991478
141,0.00042607584149978694
142,0.0012782275244993609
143,0.0008521516829995739
144,0.00042607584149978694
145,0.0017043033659991478
146,0.00042607584149978694
147,0.0012782275244993609
148,0.016190881976991905
149,0.017043033659991477
150,0.0012782275244993609
151,0.012356199403493822
152,0.008521516829995739
153,0.0025564550489987218
154,0.00042607584149978694
155,0.0008521516829995739
156,0.00042607584149978694
157,0.0012782275244993609
158,0.0025564550489987218
159,0.004686834256497656
160,0.010225820195994887
161,0.008521516829995739
162,0.007669365146996165
163,0.00042607584149978694
164,0.010225820195994887
165,0.013208351086493396
166,0.01406050276949297
167,0.008521516829995739
168,0.0008521516829995739
169,0.00042607584149978694
170,0.00042607584149978694
171,0.034086067319982954
172,0.00042607584149978694
173,0.0017043033659991478
174,0.0034086067319982955
175,0.007243289305496378
176,0.011504047720494247
177,0.008521516829995739
178,0.0012782275244993609
179,0.004260758414997869
180,0.00042607584149978694
181,0.0017043033659991478
182,0.0008521516829995739
183,0.006817213463996591
184,0.005538985939497231
185,0.006391137622496805
186,0.005538985939497231
187,0.00042607584149978694
188,0.00042607584149978694
189,0.0038346825734980826
190,0.002982530890498509
191,0.0025564550489987218
192,0.0017043033659991478
193,0.006391137622496805
194,0.002982530890498509
195,0.02982530890498509
196,0.00042607584149978694
197,0.0097997443544951
198,0.0008521516829995739
199,0.014912654452492544
200,0.00042607584149978694
201,0.00042607584149978694
202,0.008095440988495952
203,0.0012782275244993609
204,0.0008521516829995739
205,0.0012782275244993609
206,0.0012782275244993609
207,0.018321261184490838
208,0.011504047720494247
209,0.00042607584149978694
210,0.054111631870472944
211,0.0017043033659991478
212,0.0008521516829995739
213,0.00042607584149978694
214,0.00042607584149978694
215,0.0021303792074989347
216,0.0008521516829995739
217,0.021303792074989347
218,0.017895185342991053
219,0.00042607584149978694
220,0.008095440988495952
221,0.00042607584149978694
222,0.03749467405198125
223,0.0021303792074989347
224,0.02556455048998722
