dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_490w_6r
ALPHA,0.1
G_Size,5
Iteration Count,146
worker_id,worker_ability
0,0.7166959419498762
1,0.40853631105935473
2,0.4222646734023383
3,0.5836125261940093
4,0.598288696815653
5,0.5585729549705322
6,0.2008856373844381
7,0.4560527550971083
8,0.8144222080074074
9,0.2486148446141635
10,0.19918662687641173
11,0.5135266954466421
12,0.227764492961227
13,0.24471680870012044
14,0.8189123777070432
15,0.27530901182976103
16,0.3449954591497919
17,0.3543174135157167
18,0.6437180441512991
19,0.6405386628533672
20,0.4376061568088724
21,0.10263147317262454
22,0.4217757824000346
23,0.17994048642535845
24,0.21128789905975862
25,0.07977232761144538
26,0.5357825585889111
27,0.3346028929640138
28,0.7637354423874622
29,0.2850047206423056
30,0.34884001590790825
31,0.4300941234913707
32,0.20673243581136042
33,0.9675795065487756
34,0.18392963317106942
35,0.17943178046748282
36,0.18793694178247844
37,0.0586790557143733
38,0.24999172322453095
39,0.3046242687730514
40,0.30233173188631324
41,0.05714304773698042
42,0.17272743699907245
43,0.378890689144165
44,0.3046071850214657
45,0.5877016479555286
46,0.30852903017451894
47,0.3811301761862292
48,0.38188070259930085
49,0.442638038903219
50,0.1943645630929428
51,0.6215474009962826
52,0.3227205633100891
53,0.42832253571065915
54,0.4516263356621046
55,0.3758810687711454
56,0.738275600693639
57,0.15626530540029365
58,0.37736222999059327
59,0.25439973874644783
60,0.06564056613084394
61,0.49863724861240477
62,0.016151579941490368
63,0.19820550255974853
64,0.39394767636358363
65,0.2674886636479765
66,0.4694125071979404
67,0.18911129155989917
68,0.07227761567052615
69,0.14803508385408337
70,0.5716097239366094
71,0.3397752325606451
72,0.061959518285054305
73,0.1691692931825218
74,0.4934162378797551
75,0.4231869346325402
76,0.18312523506477082
77,0.5177569743937556
78,0.030716632116136868
79,0.4124782191848046
80,0.1719462791306449
81,0.12015860639222009
82,0.40145717073296516
83,0.4575532917812874
84,0.08862007815548897
85,0.19357729215263725
86,0.1990128555888248
87,0.32817845306536486
88,0.1831293164510759
89,0.18026198859139259
90,0.5352117163513269
91,0.06317715536234954
92,0.5921467744258333
93,0.3697399269953721
94,0.31750446257922565
95,0.5509002869232738
96,0.06780838250370234
97,0.3205101326113338
98,0.3677475961981884
99,0.15350288483987132
100,0.3560373094492088
101,0.03949845200071063
102,0.051203692511168644
103,0.23395804294947709
104,0.10957002554463208
105,0.42635570240050125
106,0.32408823202025233
107,0.07837929439531038
108,0.29927180144060384
109,0.17427976102576287
110,0.22382717736577692
111,0.36913707009986424
112,0.02361668496081414
113,0.17242555660230488
114,0.03413700652268638
115,0.2181082400711126
116,0.214954422378425
117,0.13879152178037163
118,0.050732763110620555
119,0.2197263214024993
120,0.2590577417490694
121,0.1951324058637166
122,0.18958058794826116
123,0.04664766050694076
124,0.6357368441353635
125,0.272527645179652
126,0.16935019169426435
127,0.19208174490912686
128,0.1658581523159587
129,0.19348700233232732
130,0.14316085956253005
131,0.03627097352019737
132,0.20074920877573896
133,0.6163649588073802
134,0.052511883373105105
135,0.22803866452457924
136,0.19434951155007132
137,0.02360795543885654
138,0.16573034548800575
139,0.13994082037355365
140,0.21231978451503938
141,0.04282787358561372
142,0.023570106603469938
143,0.28756198880542383
144,0.21242642835635456
145,0.23429716666155154
146,0.1912640630497146
147,0.3940930096427047
148,0.08916345896432391
149,0.2688694866419962
150,0.2006594797354359
151,0.3288522662869865
152,0.21216610087410256
153,0.14794270597107087
154,0.04042940317819785
155,0.40322629486254835
156,0.2354921351728651
157,0.19405716397519668
158,0.04717857818032513
159,0.16340677641071208
160,0.22094775746995565
161,0.049138347137925406
162,0.09239764999376904
163,0.12523274467228052
164,0.2011836776148251
165,0.2031763068488585
166,0.4822453692551663
167,0.3017975765974675
168,0.08637883097088571
169,0.04695563373920777
170,0.44785186347736217
171,0.4151617938242779
172,0.015319696020000205
173,0.0364261781507408
174,0.4314690535206237
175,0.3958719982411467
176,0.1792902524844214
177,0.46946208934537015
178,0.1660802189454704
179,0.04717153029700045
180,0.31594718285361734
181,0.19719766802859315
182,0.0471530849467266
183,0.04707719437775215
184,0.04177495842287147
185,0.28091832943939476
186,0.04826315549291685
187,0.3182577603789506
188,0.257113248882866
189,0.39751214695892906
190,0.34277451558641236
191,0.39144805280051437
192,0.1982493754893196
193,0.18679051566448626
194,0.43212139410636635
195,0.4335216246649033
196,0.1547293452130068
