# 节点数  边数   ,84218  293298
30387,78267
30387,68620
30387,83149
30387,64198
30387,83700
30387,46555
30387,24133
30387,56325
30387,17941
30387,41471
30387,67064
30387,828
30387,45084
30387,67435
30387,44342
30387,51672
30387,36218
30387,56570
30387,58131
30387,71411
30387,22084
30387,63768
30387,27473
30387,74441
30387,80804
30387,17621
30387,27036
30387,6821
30387,47618
30387,1017
30387,70669
30387,4601
30387,63545
30387,13895
30387,58572
30387,22490
30387,1785
30387,3202
30387,49367
30387,20299
30387,63555
30387,36628
30387,22439
30387,75730
30387,36193
30387,49617
30387,74349
30387,16018
30387,60774
30387,11564
30387,980
30387,76024
30387,57639
30387,54129
30387,13561
30387,15786
30387,55832
30387,17856
30387,16792
30387,82330
30387,2824
30387,58492
30387,26568
30387,54245
30387,52415
30387,1517
30387,3091
30387,75360
30387,37101
30387,5093
30387,2989
30387,11271
30387,9882
30387,76102
30387,18589
30387,32349
30387,50517
30387,38491
30387,7006
30387,16950
30387,10839
30387,81829
30387,6825
30387,6123
30387,17564
30387,54839
30387,26864
30387,52081
30387,15553
30387,58386
30387,2460
30387,3056
30387,15560
30387,6464
30387,70971
30387,52157
30387,51859
30387,15511
30387,54878
30387,39885
30387,36191
30387,57358
30387,15994
30387,15265
30387,33120
30387,4680
30387,65049
30387,34955
30387,60933
30387,47243
30387,66860
30387,38225
30387,20378
30387,80939
30387,44812
30387,4063
30387,2595
30387,64051
30387,60848
30387,56864
30387,25934
30387,37926
30387,66376
30387,41141
30387,27479
30387,15087
30387,3368
30387,25445
30387,54735
30387,10842
30387,7558
30387,40789
30387,40287
30387,43579
30387,74558
30387,35655
30387,39606
30387,10419
30387,82490
30387,212
30387,19711
30387,35559
30387,50236
30387,83579
30387,11201
30387,35387
30387,55013
30387,56704
30387,61347
30387,51787
30387,46353
30387,35298
30387,2962
30387,54855
30387,15983
30387,5667
30387,29524
30387,10152
30387,48739
30387,137
30387,22596
30387,58240
30387,33882
30387,12384
30387,41212
30387,9868
30387,16043
30387,65192
30387,13654
30387,52291
30387,26738
30387,60423
30387,59094
30387,4555
30387,63318
30387,35460
30387,16431
30387,15510
30387,22930
30387,35495
30387,50804
30387,63253
30387,60748
30387,606
30387,40072
30387,19167
30387,48690
30387,2279
30387,18668
30387,22517
30387,58584
30387,31446
30387,38860
30387,56484
30387,43483
30387,63279
30387,66949
30387,47969
30387,12605
30387,10643
30387,32849
30387,48300
30387,40762
30387,7341
30387,4836
30387,58172
30387,55179
30387,14415
30387,71025
30387,12580
30387,60749
30387,4999
30387,22996
30387,48464
30387,35870
30387,11473
30387,12928
30387,45902
30387,52731
30387,43712
30387,13609
30387,51506
30387,19668
30387,41492
30387,21984
30387,3103
30387,5395
30387,77427
30387,58575
30387,6449
30387,27459
30387,36178
30387,52716
30387,30367
30387,41898
30387,3149
30387,7203
30387,28146
30387,32104
30387,2032
30387,38803
30387,41234
30387,66186
30387,47818
30387,13483
30387,28011
30387,61099
30387,75288
30387,28035
30387,7788
30387,19614
30387,69505
30387,25320
30387,6023
30387,3229
30387,56965
30387,60092
30387,10654
30387,22195
30387,82466
30387,70552
30387,5582
30387,38892
30387,46863
30387,32471
30387,49098
30387,31961
30387,80264
30387,81462
30387,3276
30387,29121
30387,32560
30387,4241
30387,1061
30387,8782
30387,60964
30387,56226
30387,9523
30387,5331
30387,38683
30387,32039
30387,32381
30387,54938
30387,68806
30387,22085
30387,42734
30387,5586
30387,2431
30387,1699
30387,83975
30387,14257
30387,35681
30387,50665
30387,32859
30387,17861
