dataset,DouBanDatasets_RedundancyCut/Douban_202t_2010w
ALPHA,0.1
G_Size,5
worker_id,worker_severity
0,-0.40464817859187757
1,0.20164060846361156
2,0.019533221184899918
3,-0.5389077154415917
4,-0.15025462061079295
5,-0.7387645270582659
6,0.3024498157317478
7,-0.11142026017274467
8,-0.12255112097517382
9,0.08073791374243533
10,0.26022671902604566
11,-0.06328531931657887
12,0.5384301184549772
13,0.15672913634062433
14,-0.4132222567630742
15,0.20188952442974395
16,-0.2387485960811061
17,0.5648725555649959
18,-0.26595000097243965
19,-0.08191349504541186
20,0.23266041945587634
21,-0.14975652028283643
22,-0.3975812590040761
23,0.17769928572254773
24,0.41295051704055064
25,-0.10456256734500512
26,0.05902254593094971
27,-0.04288545207334822
28,0.5344742035890916
29,0.5670027394510151
30,0.37451006482485216
31,0.04247917632894879
32,0.10630156948258956
33,-0.43570170720196016
34,0.06781378535856944
35,0.1560708317266565
36,-0.20026253578183242
37,-0.273941123384538
38,0.15803121394226255
39,0.39924399547743455
40,-0.2317324450418665
41,0.1771661117359027
42,0.464441471760659
43,-0.05794094013109958
44,-0.3302529281842821
45,0.19347971531107847
46,0.4655650997102772
47,0.24875334742400707
48,0.18965330150444243
49,-0.4169753834209203
50,-0.020913860849043505
51,-0.20392862580287133
52,0.3679668509763379
53,-0.2798789437041876
54,0.4855309431815187
55,-0.1919624298802113
56,0.18862297158656893
57,0.1596957648742975
58,0.0906221315684538
59,-0.29984205399939967
60,0.3433348726354828
61,0.13413730400890117
62,-0.13175407201517744
63,0.46042372140114796
64,0.337295269195495
65,-0.1638840749288861
66,0.21969323560712584
67,-1.023752688028692
68,0.17757270072198977
69,0.23440485934898178
70,-0.19015250673798412
71,-0.026334921888102197
72,-0.38262060532626246
73,0.0764881811135952
74,-0.561456068731698
75,-0.005579394435525871
76,0.3003564079769884
77,0.33894932188752486
78,-0.641789960830323
79,0.10202213456911723
80,-1.7406061013679293
81,0.29933933470352725
82,0.4023822562434744
83,-0.02116717439512007
84,-0.1321189182069819
85,-0.043850297643904065
86,0.4720432270405762
87,-0.3247810279426134
88,-2.138471867818134
89,-0.04847862521235117
90,0.3051596831282133
91,-0.14331041481569923
92,0.16375136690154554
93,-0.41184216235163484
94,0.2750362627056624
95,-0.1871368783679847
96,0.43879482467971104
97,-0.34969639552360265
98,0.444938673645681
99,0.10802540357772233
100,0.5433368447917625
101,-0.15447233375962022
102,-0.467244717589509
103,-0.35261393203786223
104,0.5513355829298374
105,-0.006615717474701127
106,0.27631979265528606
107,-0.1817664094626449
108,-0.29993042145744586
109,-0.4162123458093018
110,0.1876908891164608
111,0.10981657178881643
112,0.024909619534631174
113,0.1747306371461292
114,0.3572967242222249
115,0.06793477017816886
116,0.05058840118355426
117,0.47887160076521057
118,-0.08104294511539385
119,0.16435223041387725
120,0.05575823964162746
121,0.16109818570478054
122,0.5243529291039593
123,0.38692160100404566
124,-0.3660166338230936
125,-0.2870217275349224
126,0.40001355996070787
127,-0.8496287225606542
128,-0.21728711989472604
129,0.4026113180710609
130,0.4991701704381837
131,-0.22558718861131813
132,0.1343536728207005
133,0.49954879394213153
134,0.22045438576618287
135,-0.28650087912621564
136,0.40002201786543423
137,0.18223522422722208
138,0.5508907979015653
139,0.06581269848063998
140,0.20000705288986267
141,-0.1686005739169816
142,-0.7999929471101376
143,0.3804582549396993
144,0.40959950608835494
145,0.27028927028758765
146,0.23243775210495482
147,0.29326414072416906
148,-0.18739370047046175
149,0.5108819344710332
150,0.15696064028441634
151,0.3428192854810196
152,-0.03159344809533367
153,0.2000070528898626
154,0.17270095522142823
155,0.443129283024118
156,0.3985823325476151
157,-0.3541341121197146
158,-0.679186421033527
159,0.15925071156500886
160,0.09762752424598486
161,0.428526332381211
162,0.13557810775469423
163,0.3627879318405862
164,0.049864746895048585
165,0.2863852452395126
166,0.13161885147869318
167,0.39971606888453737
168,0.2731237357823307
169,0.19019886275071796
170,-0.01206938499155426
171,0.35897580273779345
172,0.29784442050346555
173,-0.02232325806803793
174,0.30417474864864075
175,0.1037111718365751
176,0.3426862280937413
177,0.2766936833510364
178,0.12272537061297696
179,0.20001742060412636
180,0.2098570711156108
181,0.29996926887928427
182,-0.013064985501816758
183,0.2601547386267052
184,0.35245546058652183
185,-0.16274981794757576
186,0.37446441370773537
187,0.24109133348853046
188,0.1251067137226623
189,0.8974780521011302
190,-0.21011115283661258
191,-0.28817154439404147
