# 节点数  边数   ,23941  234789
11336,20385
11336,23816
11336,19185
11336,23874
11336,15950
11336,8983
11336,14734
11336,19950
11336,630
11336,15633
11336,20105
11336,16523
11336,17154
11336,17298
11336,8318
11336,19059
11336,9957
11336,21902
11336,23378
11336,6060
11336,9816
11336,3179
11336,16026
11336,754
11336,20815
11336,2348
11336,19015
11336,5297
11336,17487
11336,8536
11336,1180
11336,1809
11336,7401
11336,19021
11336,13035
11336,8507
11336,22222
11336,12897
11336,16286
11336,21861
11336,5703
11336,18293
11336,4714
11336,723
11336,22317
11336,16883
11336,5192
11336,17072
11336,5884
11336,1593
11336,17429
11336,9705
11336,16607
11336,1049
11336,1734
11336,22169
11336,13255
11336,2537
11336,1666
11336,22340
11336,6416
11336,11960
11336,16395
11336,3245
11336,5915
11336,4560
11336,3182
11336,2933
11336,6049
11336,16959
11336,1420
11336,1703
11336,5664
11336,3051
11336,5648
11336,12896
11336,17244
11336,5690
11336,2393
11336,19385
11336,12678
11336,18355
11336,15991
11336,19843
11336,13704
11336,7444
11336,23403
11336,2144
11336,1492
11336,18322
11336,9553
11336,13583
11336,19650
11336,14622
11336,9959
11336,1894
11336,9349
11336,16941
11336,3395
11336,14506
11336,14344
11336,21934
11336,14133
11336,4382
11336,193
11336,7066
11336,16368
11336,18464
11336,16537
11336,15936
11336,1657
11336,4233
11336,16174
11336,124
11336,8571
11336,12404
11336,4950
11336,14636
11336,4068
11336,5710
11336,19415
11336,5236
11336,9746
11336,18164
11336,2328
11336,18968
11336,5764
11336,5647
11336,12753
11336,16430
11336,18957
11336,14273
11336,6771
11336,16168
11336,1292
11336,6463
11336,8548
11336,17497
11336,11680
11336,13937
11336,15302
11336,18962
11336,19896
11336,16060
11336,4506
11336,14495
11336,2448
11336,5399
11336,20920
11336,4990
11336,18286
11336,2490
11336,8665
11336,12820
11336,4700
11336,15858
11336,16640
11336,15361
11336,5221
11336,7049
11336,8246
11336,1741
11336,2607
11336,22644
11336,17490
11336,9954
11336,11321
11336,14791
11336,1775
11336,3319
11336,10210
11336,11896
11336,1239
11336,13917
11336,14644
11336,19608
11336,16046
11336,5148
11336,18402
11336,10125
11336,7027
11336,20514
11336,1826
11336,4511
11336,8378
11336,20775
11336,2679
11336,13951
11336,15971
11336,16222
11336,11863
11336,23295
11336,23527
11336,1849
11336,10776
11336,2227
11336,786
11336,3776
11336,18366
11336,2596
11336,11879
11336,8319
11336,15082
11336,2683
11336,1404
11336,12771
11336,12060
11336,3930
11336,20664
11336,3072
11336,16366
11336,5998
11336,7088
11336,20531
11336,17384
11336,15530
11336,3312
11336,19245
11336,5018
11336,16512
11336,16935
11336,74
11336,22768
11336,16486
11336,3553
11336,9016
11336,16112
11336,2224
11336,3666
11336,14561
11336,16703
11336,23463
1637,10171
1637,23546
1637,399
1637,16779
1637,1446
1637,2020
1637,10607
1637,563
1637,10241
1637,15331
14787,5993
5638,6973
5638,4435
7247,8573
7247,23136
7247,17872
819,3557
819,7137
819,15436
819,20412
819,1648
8335,159
23032,11714
23032,9382
23032,16949
6770,23637
6770,21232
6770,19989
6770,20563
6770,13278
6770,22428
6770,23643
6770,14661
6770,11553
6770,11037
13555,9442
13555,4916
13555,19445
13555,19576
13555,5963
13555,1457
13555,18966
13555,3627
13555,1563
8090,23775
8090,16867
8090,23374
8090,21657
18731,14906
18731,19970
18731,7428
18731,2202
18731,18945
18731,23027
18731,19344
18731,15546
18731,21172
18731,17653
18731,9937
15304,5587
15304,14151
15304,15990
810,15002
810,9120
810,23933
810,18106
810,12637
810,23547
810,14565
810,10029
810,5514
810,14615
810,15260
810,21418
810,2881
810,22986
810,3881
810,22335
810,8407
810,21713
810,2579
810,21690
810,23016
810,6579
810,5122
810,15691
810,12330
810,897
810,3712
810,22569
810,22369
810,8054
810,15566
810,15286
810,15152
810,18769
810,14874
810,12523
810,22987
810,1040
810,15335
810,1096
810,12209
810,3711
810,930
810,9908
810,1868
810,16677
810,23421
810,18381
810,15159
810,2929
810,12756
810,9472
810,1477
810,11446
810,20777
810,22878
810,23013
810,9841
810,21400
810,4544
20235,1626
20235,1253
20235,3898
20235,16872
20235,9483
20702,20749
21738,14661
21738,21945
5098,23889
5098,16241
5098,16297
5098,5047
5098,23365
5098,15840
5098,6979
5098,4975
5098,4420
5098,14122
5098,6172
5098,506
5098,2450
5098,3607
5098,23308
5098,17541
5098,23166
5098,23797
5098,2177
5098,6088
5098,17983
5098,16661
5098,584
5098,18020
5098,3648
5098,8691
5098,5474
5098,14411
5098,10580
5098,23910
5098,17954
5098,23356
5098,12298
5098,23221
5098,15917
5098,7010
5098,9041
5098,23214
5098,9661
5098,5264
5098,23333
5098,1765
5098,23479
5098,23294
5098,22881
5098,19499
5098,18952
5098,643
5098,23316
5098,16078
5098,16913
5098,20826
5098,9279
5098,6115
5098,1878
5098,15088
5098,19058
5098,1423
5098,18569
5098,18381
5098,2809
5098,12806
5098,16281
5098,23407
5098,2928
5098,5383
5098,1885
5098,5078
5098,19225
5098,20531
5098,15762
5098,3170
5098,9952
5098,4235
5098,8184
5098,2224
5098,13532
5098,13867
5098,2915
5098,1064
18618,6992
18618,7225
17629,19257
4264,7829
4264,14520
15039,4942
5359,16203
2588,4612
2588,17006
9389,10015
541,14756
541,3398
10788,6264
4242,1514
4242,5040
4242,23888
4242,8303
4242,974
4242,2835
4242,18076
4242,16093
4242,6973
4242,2374
4242,5467
4242,23478
4242,111
9497,6819
10955,10484
10955,1633
10955,16867
10955,3791
11156,18686
11156,14807
20827,11837
13560,16841
9611,3274
12880,14807
7821,8643
7821,17879
3642,12863
3642,20788
3642,14538
4444,5945
4444,9163
4444,4493
4444,15062
4444,12701
19248,15925
8542,8273
8542,12207
5283,4007
5283,16965
5283,5160
5283,5299
13159,20117
7318,18212
7318,14920
7318,20295
7318,11454
7318,17783
7318,13177
7318,1523
7318,18755
7318,5847
7318,3447
7318,6325
7318,8707
7318,19247
7318,10717
7318,10308
7318,23290
7318,22508
7318,7416
7318,17472
9274,1970
9274,18241
9274,8190
10484,18657
10484,2840
10484,5587
10484,8877
10484,3048
10484,15231
10484,11441
10484,15990
10484,501
10484,1885
10484,100
10484,15457
10484,2352
1842,4789
1842,18171
1842,17174
1842,2705
1842,2298
1842,9841
1842,1847
17380,14637
10847,16123
10847,2710
10847,23778
10847,5086
3862,209
3862,3436
5357,3847
5357,4188
5357,23546
5357,14807
5357,3791
7741,8674
7741,7559
7741,10301
7741,11702
6831,9685
6831,6318
6831,19038
6831,19526
6831,14280
6831,5272
6831,8676
7694,12882
7694,6875
7694,12642
7694,3921
7694,6587
7694,3693
7694,2560
7694,17949
7694,17678
22645,22023
8572,3798
8572,22863
8572,6762
23430,4513
13872,4006
13872,23901
13872,9841
20444,17655
20444,21883
21265,10597
21265,22058
21265,19812
21662,11830
5706,3105
5706,399
5706,15925
5706,4501
5706,16391
5706,16529
9090,18483
9090,1462
9090,17620
8840,931
18491,17845
18491,21460
10118,14787
10118,17147
10118,17353
10118,14816
10118,11671
10118,20702
10118,4959
10118,21021
10118,17816
10118,20992
10118,16821
10118,19491
10118,20827
10118,13264
10118,17744
10118,21383
10118,16004
10118,14681
10118,14948
10118,16490
10118,15589
10118,21011
10118,21096
10118,9552
10118,19556
10118,19530
10118,15076
10118,13214
10118,7971
10118,17351
10118,19168
10118,6716
10118,10574
10118,9519
10118,7364
10118,20965
10118,15333
10118,17790
10118,4328
10118,21923
10118,15128
10118,1798
10118,23894
10118,14962
10118,15154
10118,19818
10118,10386
10118,10116
10118,10340
10118,14444
10118,22454
10118,5031
10118,18349
10118,10749
10118,18441
10118,12633
10118,7253
10118,7313
10118,12484
10118,19173
10118,21144
10118,18665
10118,10087
10118,17561
10118,4290
10118,12865
10118,18544
10118,19951
10118,22694
10118,1115
10118,22773
10118,20510
10118,20597
10118,1003
10118,19056
10118,3686
10118,9799
10118,15066
10118,22525
10118,9265
10118,12602
10118,23898
10118,19113
10118,20290
10118,1651
10118,18892
10118,19128
10118,19954
10118,22230
10118,22190
10118,2187
10118,18987
10118,4187
10118,16851
10118,14991
10118,11641
10118,9069
10118,18050
10118,22620
10118,16381
10118,12508
10118,14159
10118,14545
10118,22273
10118,18972
10118,19084
10118,15251
10118,18351
10118,15421
10118,19653
10118,13710
10118,7174
10118,17436
10118,3253
10118,3555
10118,15218
10118,7633
10118,7536
10118,8901
10118,17102
10118,2882
10118,21025
10118,22944
10118,16967
10118,6936
10118,3215
10118,15271
10118,602
10118,17471
10118,14443
10118,20574
10118,21071
10118,18212
10118,8327
10118,11639
10118,14701
10118,12758
10118,1551
10118,17148
10118,21697
10118,6211
10118,10618
10118,19934
10118,12939
10118,19057
10118,16833
10118,14734
10118,14249
10118,208
10118,14897
10118,3894
10118,18139
10118,15017
10118,3860
10118,15398
10118,21375
10118,13810
10118,17984
10118,11739
10118,4094
10118,11233
10118,12525
10118,17676
10118,10367
10118,949
10118,17798
10118,5945
10118,22607
10118,12826
10118,1383
10118,15574
10118,22075
10118,14557
10118,20794
10118,20642
10118,20040
10118,19210
10118,7297
10118,23162
10118,2368
10118,22670
10118,15376
10118,8413
10118,4322
10118,7650
10118,14657
10118,7133
10118,23740
10118,2061
10118,11255
10118,21216
10118,16712
10118,19282
10118,20360
10118,15979
10118,7725
10118,18963
10118,5254
10118,9782
10118,17540
10118,21105
10118,20751
10118,15798
10118,20515
10118,21968
10118,8743
10118,18911
10118,8937
10118,12327
10118,6630
10118,17717
10118,1063
10118,13827
10118,23481
10118,17400
10118,16894
10118,12256
10118,411
10118,1630
10118,17882
10118,15487
10118,15099
10118,9628
10118,13447
10118,7293
10118,14370
10118,9078
10118,11497
10118,5822
10118,14078
10118,20963
10118,8818
10118,2563
10118,7919
10118,15091
10118,4028
10118,9569
10118,1917
10118,13109
10118,23618
10118,5544
10118,2774
10118,7162
10118,15732
10118,14920
10118,17994
10118,19844
10118,21060
10118,17229
10118,17865
10118,20395
10118,10312
10118,12972
10118,9054
10118,7231
10118,10613
10118,23617
10118,23744
10118,4083
10118,14998
10118,3774
10118,12637
10118,13633
10118,9767
10118,7910
10118,17728
10118,18520
10118,15185
10118,10485
10118,20478
10118,10201
10118,16169
10118,23662
10118,530
10118,10513
10118,21145
10118,18640
10118,20337
10118,23061
10118,9848
10118,20538
10118,14971
10118,12577
10118,19767
10118,14595
10118,14632
10118,23711
10118,21915
10118,17579
10118,432
10118,23547
10118,15583
10118,7584
10118,7252
10118,15618
10118,20932
10118,22228
10118,22842
10118,21437
10118,8505
10118,15349
10118,21243
10118,8187
10118,18873
10118,13638
10118,3667
10118,18525
10118,13766
10118,12667
10118,14054
10118,23325
10118,13012
10118,19494
10118,11169
10118,5540
10118,21277
10118,22120
10118,6642
10118,1072
10118,1654
10118,11467
10118,15006
10118,22679
10118,14433
10118,9245
10118,3892
10118,14732
10118,21262
10118,11556
10118,4305
10118,20480
10118,5773
10118,21803
10118,22868
10118,7243
10118,16619
10118,12677
10118,19923
10118,16845
10118,17906
10118,17492
10118,21040
10118,12535
10118,15038
10118,8854
10118,23269
10118,18221
10118,21372
10118,17089
10118,10152
10118,12866
10118,9433
10118,7468
10118,22105
10118,15591
10118,13174
10118,9339
10118,14251
10118,19480
10118,19846
10118,4830
10118,22617
10118,18602
10118,4244
10118,4066
10118,7334
10118,10102
10118,5866
10118,6603
10118,17905
10118,10039
10118,6851
10118,22085
10118,15113
10118,20936
10118,13716
10118,15818
10118,13139
10118,14754
10118,2791
10118,20663
10118,20333
10118,3282
10118,7621
10118,17763
10118,5687
10118,14034
10118,13747
10118,12640
10118,10346
10118,148
10118,18593
10118,20413
10118,3934
10118,16335
10118,13209
10118,2583
10118,6533
10118,3700
10118,19720
10118,16058
10118,23694
10118,19953
10118,18814
10118,21478
10118,18832
10118,5496
10118,11675
10118,16841
10118,14033
10118,15724
10118,14841
10118,5218
10118,19838
10118,2071
10118,19144
10118,19086
10118,9930
10118,22424
10118,14394
10118,22997
10118,4002
10118,19526
10118,5995
10118,21027
10118,3853
10118,13677
10118,6082
10118,21991
10118,18723
10118,4139
10118,21352
10118,19596
10118,13586
10118,17042
10118,15174
10118,3710
10118,21263
10118,14988
10118,23664
10118,1808
10118,5792
10118,17110
10118,853
10118,13784
10118,21655
10118,14062
10118,13585
10118,12698
10118,842
10118,15268
10118,20070
10118,20855
10118,20248
10118,15272
10118,16208
10118,21108
10118,15580
10118,19872
10118,3462
10118,13339
10118,20394
10118,19990
10118,3117
10118,21070
10118,16484
10118,19159
10118,20763
10118,14000
10118,3450
10118,17858
10118,14216
10118,22473
10118,23654
10118,21186
10118,18385
10118,10543
10118,19441
10118,7682
10118,19882
10118,20899
10118,20703
10118,22887
10118,2796
10118,11765
10118,12870
10118,2773
10118,22907
10118,2676
10118,21998
10118,19268
10118,16769
10118,22955
10118,15195
10118,13735
10118,20956
10118,9321
10118,19147
10118,14076
10118,10394
10118,22431
10118,14913
10118,18479
10118,15623
10118,10271
10118,10332
10118,7428
10118,6153
10118,21163
10118,21394
10118,19985
10118,20028
10118,17427
10118,15397
10118,4104
10118,18184
10118,1585
10118,17036
10118,13358
10118,7163
10118,7775
10118,7054
10118,21517
10118,10156
10118,19301
10118,1344
10118,12438
10118,20295
10118,21949
10118,14842
10118,1350
10118,21200
10118,15887
10118,16163
10118,7336
10118,13146
10118,11569
10118,9907
10118,14968
10118,12863
10118,19408
10118,10721
10118,13573
10118,23750
10118,23244
10118,2222
10118,19665
10118,14032
10118,7303
10118,18773
10118,17345
10118,18252
10118,21927
10118,6575
10118,2674
10118,16910
10118,18705
10118,8671
10118,15673
10118,19814
10118,14631
10118,14943
10118,15811
10118,10875
10118,14256
10118,6909
10118,21103
10118,11274
10118,15525
10118,6419
10118,21404
10118,18237
10118,10173
10118,20464
10118,12954
10118,23541
10118,10493
10118,15098
10118,8899
10118,19789
10118,19066
10118,6126
10118,10891
10118,1705
10118,11554
10118,18126
10118,19304
10118,15505
10118,21444
10118,17319
10118,7398
10118,9554
10118,5296
10118,13275
10118,14474
10118,12173
10118,11171
10118,455
10118,20145
10118,16721
10118,14936
10118,22407
10118,12700
10118,19423
10118,20944
10118,10266
10118,6913
10118,21753
10118,7392
10118,14079
10118,15597
10118,8507
10118,22609
10118,20122
10118,18193
10118,21539
10118,10350
10118,19125
10118,22327
10118,20743
10118,14049
10118,18136
10118,11576
10118,12918
10118,1454
10118,8695
