dataset,DouBanDatasets_SWTest/Douban_5816w
ALPHA,0.1
G_Size,5
Iteration Count,11
worker_id,worker_ability
0,0.3250393538861119
1,0.30679160737822864
2,0.17970339754736367
3,0.33181215261561103
4,0.5583369882089079
5,0.23284618259315537
6,0.2589211791428257
7,0.2203003903051799
8,0.2150166621060605
9,0.3858563340804441
10,0.40826654699557563
11,0.1568805518832046
12,0.11298459371750917
13,0.14992801890333232
14,0.32923412500938776
15,0.18112770345417653
16,0.2807774217241236
17,0.16716695470484488
18,0.5772951112931317
19,0.2567843742688515
20,0.47161479374109594
21,0.5521731183337173
22,0.28425869920415847
23,0.1688710717962056
24,0.20367407512565858
25,0.2575043172807046
26,0.2947102095676884
27,0.19886185928591837
28,0.08917061785250464
29,0.18088358822534933
30,0.3422127272535888
31,0.3840502785751761
32,0.16647771100439987
33,0.43874960369117527
34,0.10140540277302382
35,0.38305391820173756
36,0.28182549740856605
37,0.26363700527577166
38,0.33670722848402607
39,0.16479657335291278
40,0.5636815284112954
41,0.3317558730041439
42,0.4285267346376094
43,0.2644811835029658
44,0.2548748142560132
45,0.30245903028645654
46,0.10298909423993807
47,0.12136681931531419
48,0.10258974688746136
49,0.19704418984174393
50,0.3859712770246552
51,0.11842746874991357
52,0.36510828260972367
53,0.3538351928692174
54,0.19383053755309762
55,0.24192714086363765
56,0.4730613142032002
57,0.12808882850932468
58,0.27520282574478105
59,0.18714196035247935
60,0.1757019060461776
61,0.24887382797070598
62,0.3007981751737816
63,0.3217722506876625
64,0.26275002052127144
65,0.3238228304681853
66,0.2958632401650328
67,0.18899090015636902
68,0.6653856129521222
69,0.23054226855294696
70,0.2617193767878305
71,0.2401525500301386
72,0.20941949395084133
73,0.36688900154277776
74,0.25545862621061327
75,0.6592564024025918
76,0.24459480326559796
77,0.1848382566077498
78,0.12161847476555837
79,0.32093390482771156
80,0.23883357488671
81,0.19812235799329744
82,0.3095308174485122
83,0.11827094193217112
84,0.14329232613696247
85,0.2794039754403278
86,0.33712412300552563
87,0.1788548031678918
88,0.2800637428260531
89,0.1125942934975635
90,0.35113982223596363
91,0.32027848570856937
92,0.2520610174750827
93,0.49189235868938525
94,0.2342029908208396
95,0.2763756769813623
96,0.47227375453839554
97,0.17536212516704508
98,0.18625914764462695
99,0.13934040288003838
100,0.13499064863619645
101,0.28431865397134387
102,0.4180241793387617
103,0.17879236516056662
104,0.1740432603480296
105,0.2042320377576941
106,0.17552049631089306
107,0.12962285207876686
108,0.19424939061877325
109,0.157690609068455
110,0.31136891822993806
111,0.1795890017699776
112,0.1461350658784826
113,0.11593349169124129
114,0.17474400085452163
115,0.21962778805691663
116,0.34033152477309997
117,0.2312436401567664
118,0.32487616252264184
119,0.14432261311559574
120,0.3028257237249516
121,0.26305692373498635
122,0.36478584200089
123,0.2836073634478935
124,0.30573145608622454
125,0.3834541885649585
126,0.18608854719034043
127,0.23558356124898727
128,0.22032854343140434
129,0.2434404126529822
130,0.26515720812166665
131,0.13252778084192904
132,0.2307699503778042
133,0.24303494786614424
134,0.21771063184265624
135,0.15738476333543625
136,0.13641109237697815
137,0.30051069782255757
138,0.22588756404301008
139,0.23093649379134462
140,0.20355492354337715
141,0.25695950818593427
142,0.15819141659144506
143,0.1921502514957098
144,0.4201592764824622
145,0.3246660799032368
146,0.19719021232219397
147,0.2752773240423283
148,0.22808146553004705
149,0.32586715117467546
150,0.24804206051263045
151,0.1489093368176711
152,0.2067274985540136
153,0.4640298581562424
154,0.18780022298409504
155,0.315716843431899
156,0.22833769005829863
157,0.21158068348966425
158,0.281796505077861
159,0.6272373016596494
160,0.2373423976330294
161,0.13606733741145563
162,0.1940406872290826
163,0.26696271853052445
164,0.7209786968476426
165,0.225648522777441
166,0.12026060075032405
167,0.17117851525414335
168,0.25739211495467323
169,0.3678172722886981
170,0.12402896594949474
171,0.14732214549727074
172,0.18196286688978014
173,0.35305895950535476
174,0.43713776371447133
175,0.18559214312155298
176,0.25339690552505284
177,0.1692467956368802
178,0.37854334764053726
179,0.12540380413061245
180,0.23750317474872545
181,0.4010760392156991
182,0.1923591948905121
183,0.2653933226031117
184,0.29959393094462633
185,0.30830528195072815
186,0.4096124684832178
187,0.08695243616137606
188,0.351313533686551
189,0.253696488737542
190,0.1458382178125032
191,0.23199099561758
192,0.4410452677558805
193,0.2965465040400573
194,0.11368462126789915
195,0.3897023727346
196,0.31603417820295693
197,0.2377412243319588
198,0.39134280837557694
