# 节点数  边数   ,760  5587
239,439
239,367
239,154
239,157
239,678
481,89
65,590
65,726
65,722
65,724
65,23
3,662
3,615
3,24
3,250
3,225
3,452
3,664
3,224
3,747
3,40
3,123
3,143
3,726
3,49
3,692
3,606
3,655
3,639
3,333
3,246
3,233
3,215
3,403
3,236
3,288
3,59
3,468
3,731
3,282
3,251
3,751
3,226
3,338
3,89
3,336
3,19
3,332
3,275
3,38
3,646
3,582
3,214
3,553
3,331
3,627
3,327
3,724
3,104
3,454
3,630
3,55
3,213
3,463
3,598
3,137
3,587
3,438
3,22
3,756
3,480
3,175
3,154
3,706
3,166
3,252
3,318
3,503
3,174
3,149
3,443
3,349
3,245
3,596
3,264
3,63
3,592
141,24
141,742
141,690
141,590
141,121
141,34
141,215
141,684
141,59
141,135
141,251
141,579
141,506
141,14
141,137
141,132
141,305
141,33
141,436
141,430
159,137
159,592
277,495
277,98
277,210
277,53
277,376
277,82
277,70
118,742
118,369
118,148
118,59
118,582
118,327
118,94
118,310
118,503
259,210
259,213
259,28
708,406
708,707
255,589
255,225
255,485
255,98
255,381
255,95
255,379
255,0
255,386
255,447
255,268
677,390
677,49
677,675
745,481
745,158
745,312
741,313
741,588
741,33
329,42
383,224
383,747
383,40
383,287
383,158
383,639
383,309
383,98
383,460
383,59
383,53
383,95
383,89
383,19
383,230
383,82
383,104
383,20
383,14
383,42
383,668
383,132
383,94
383,29
383,436
383,63
498,40
150,17
150,348
150,381
150,633
150,95
150,427
150,336
150,214
150,192
150,258
150,26
150,667
150,147
150,604
150,54
24,14
688,726
250,334
250,34
250,333
250,94
635,600
710,250
710,92
710,49
710,186
710,634
710,542
723,747
399,381
399,202
473,544
473,594
473,438
473,94
473,175
211,291
211,58
211,27
211,359
211,14
452,662
545,488
44,459
44,168
44,71
44,238
44,403
44,98
44,236
44,53
44,394
44,185
44,230
44,82
44,258
44,533
44,612
44,630
44,55
44,213
44,14
44,438
44,22
44,175
44,696
44,436
44,23
44,311
44,149
44,443
44,273
44,63
12,150
12,24
12,589
12,559
12,168
12,183
12,40
12,390
12,123
12,143
12,238
12,434
12,606
12,485
12,158
12,233
12,98
12,87
12,106
12,433
12,53
12,468
12,731
12,282
12,251
12,95
12,609
12,88
12,271
12,19
12,493
12,627
12,281
12,46
12,55
12,213
12,14
12,42
12,591
12,29
12,166
12,70
12,252
12,436
12,443
12,683
12,592
490,150
490,589
490,40
490,474
490,418
490,238
490,233
490,403
490,106
490,633
490,609
490,188
490,19
490,526
490,205
490,386
490,398
490,94
490,29
490,436
490,293
490,149
366,185
366,55
571,250
571,589
571,168
571,645
571,350
571,123
571,143
571,238
571,49
571,17
571,291
571,709
571,158
571,348
571,233
571,57
571,684
571,650
571,236
571,106
571,468
571,282
571,251
571,336
571,19
571,675
571,493
571,214
571,331
571,73
571,327
571,258
571,104
571,454
571,658
571,213
571,147
571,298
571,237
571,94
571,23
571,149
571,740
571,63
453,374
453,390
453,17
453,457
453,58
453,98
453,87
453,437
453,429
453,95
453,336
453,19
453,214
453,132
453,235
453,523
453,29
453,70
453,33
453,264
453,455
200,225
200,742
200,732
200,394
200,178
200,313
200,609
200,94
200,70
200,63
660,590
660,238
660,655
660,185
660,60
660,94
660,683
748,544
45,225
45,224
45,390
45,690
45,17
45,291
45,158
45,182
45,98
45,87
45,282
45,338
45,19
45,6
45,230
45,533
45,55
45,213
45,14
45,480
45,70
45,436
45,149
45,63
341,40
341,283
743,157
357,748
357,434
357,82
357,33
357,273
384,589
384,390
384,210
384,381
384,466
384,478
384,408
384,619
384,311
93,171
93,95
670,104
79,662
79,567
79,664
79,451
79,742
79,224
79,747
79,645
79,328
79,183
79,40
79,123
79,590
79,49
79,485
79,709
79,158
79,233
79,684
79,236
79,253
79,251
79,493
79,588
79,214
79,331
79,6
79,327
79,724
79,26
79,55
79,213
79,290
79,149
79,443
79,63
742,470
83,158
83,209
83,437
83,84
83,109
83,95
83,185
83,544
83,19
83,38
83,230
83,462
83,104
83,20
83,14
83,54
83,175
83,33
83,273
152,150
152,374
152,34
152,25
152,90
152,98
152,236
152,633
152,178
152,130
152,275
152,42
152,202
406,708
406,747
406,437
168,263
168,230
747,168
747,233
747,94
747,33
694,676
694,687
694,40
694,158
694,600
694,182
694,148
694,675
694,22
694,94
328,634
328,70
328,436
228,321
228,243
228,149
342,370
261,589
261,743
261,158
261,87
261,148
261,381
261,376
261,177
261,214
261,546
261,22
261,520
261,257
261,29
261,436
261,293
261,405
261,63
116,104
40,158
40,236
71,24
71,748
71,183
71,158
71,209
71,233
71,253
71,731
71,282
71,607
71,95
71,444
71,582
71,214
71,165
71,104
71,4
71,533
71,14
71,330
71,257
71,599
71,33
71,149
71,273
71,264
71,405
71,63
690,168
351,381
474,150
474,495
474,98
474,210
474,54
117,250
117,182
117,94
117,149
672,24
672,390
672,158
672,272
672,59
672,712
672,213
672,94
672,595
122,168
122,123
122,121
122,49
122,749
122,246
122,186
122,338
122,724
122,137
122,577
122,229
143,250
143,747
143,590
143,692
143,722
143,281
143,213
418,98
418,265
418,510
418,444
418,609
418,478
418,257
418,166
418,311
238,467
238,213
238,63
565,283
495,474
495,88
495,20
495,22
642,668
121,439
121,183
121,749
121,158
121,684
121,186
121,731
121,284
121,724
121,541
121,273
121,63
49,291
49,514
49,185
49,544
49,6
49,55
49,14
49,22
49,257
49,175
287,467
287,186
287,437
434,135
434,216
17,537
17,150
172,250
172,390
172,590
172,59
172,105
172,454
172,154
172,166
172,204
344,612
344,157
34,105
34,525
243,168
243,198
243,739
243,656
360,504
360,98
360,186
164,676
164,369
164,691
164,704
164,59
164,149
25,194
25,590
25,707
25,171
25,753
25,226
25,454
25,26
25,398
25,94
25,149
583,667
583,29
583,70
583,484
388,631
128,239
128,662
128,620
128,603
128,688
128,666
128,250
128,589
128,335
128,451
128,92
128,334
128,224
128,601
128,690
128,123
128,642
128,49
128,522
128,158
128,246
128,181
128,134
128,580
128,31
128,302
128,367
128,178
128,60
128,636
128,240
128,675
128,582
128,663
128,588
128,301
128,6
128,327
128,422
128,656
128,534
128,724
128,339
128,533
128,21
128,213
128,14
128,206
128,137
128,587
128,585
128,305
128,330
128,237
128,310
128,145
128,154
128,232
128,166
128,50
128,174
128,157
128,678
709,612
39,494
39,680
39,123
39,319
39,729
39,709
39,691
39,679
39,59
39,188
39,588
39,138
39,422
39,316
39,137
39,587
39,149
419,150
419,93
419,504
419,348
419,98
419,385
419,753
419,417
419,226
419,19
419,400
419,26
419,612
419,213
419,70
419,33
419,436
584,390
584,587
69,24
69,335
69,451
69,748
69,40
69,642
69,158
69,644
69,5
69,98
69,244
69,106
69,148
69,53
69,226
69,746
69,611
69,408
69,658
69,20
69,386
