dataset,TwitterDatasets/Twitter_394t_46486w
ALPHA,0.1
G_Size,5
worker_id,worker_ability
0,0.3194101778170404
1,0.33312016229390207
2,0.4422588489910981
3,0.4343930499166512
4,0.43390053480353524
5,0.07200029595617297
6,0.4212469616769656
7,0.11001925804602301
8,0.10049456950820043
9,0.3836832180821136
10,0.07266738250378965
11,0.34676921075637357
12,0.0840884476965688
13,0.27612483601179044
14,0.033624884559344745
15,0.09051735882696695
16,0.03374106523280236
17,0.07554751839720078
18,0.21376623609313858
19,0.3308262583999431
20,0.14280853694597964
21,0.09279543869763748
22,0.09175989169434173
23,0.15458801796343302
24,0.23125418216381202
25,0.00036593672177184805
26,0.34807713781786215
27,0.4427639822221788
28,0.337290943202288
29,0.21600696019988766
30,0.2962676099234196
31,0.4703997472169572
32,0.313765545969505
33,0.1494168954499373
34,0.09723224869748408
35,0.24177556421397725
36,0.05697589582627107
37,0.29947346776998673
38,0.4192306247849749
39,0.057127147328022904
40,0.09128826751358517
41,0.3583605033079705
42,0.0671410094378541
43,0.025315227484128257
44,0.10935129723294211
45,0.2161938439041557
46,0.34809142258961945
47,0.33993635199017674
48,0.01689794682019073
49,0.3399739198038678
50,0.34738720701851217
51,0.34814482882147274
52,0.37070313279456896
53,0.059094970548402424
54,0.27344307292490333
55,0.057127147328022904
56,0.042225975700852236
57,0.35550314975001557
58,0.3779779586322776
59,0.4349997338955641
60,0.30981660339153166
61,0.33986527806755973
62,0.2092464494083773
63,0.442738978593726
64,0.41839795597560164
65,0.33140428317240167
66,0.3528112615295281
67,0.4293394044591952
68,0.4321418370866878
69,0.3472250465919907
70,0.049808353862566344
71,0.09278950016332939
72,0.016329286574640195
73,0.3134550934422145
74,0.016893578394153008
75,0.33976493317884143
76,0.22082506982905728
77,0.05078562016242859
78,0.06730577342709328
79,0.12451480594265678
80,0.3393739642357688
81,0.19629115118464152
82,0.34022528219052867
83,0.08440378825349833
84,0.3712477663097109
85,0.18870984839892505
86,0.31602408698785867
87,0.1761173965519592
88,0.337290943202288
89,0.32813641261227705
90,0.059047378418451216
91,0.33306945379025144
92,0.43484949414785146
93,0.2999372860135504
94,0.3482347849770917
95,0.3473995990768303
96,0.1140897263808268
97,0.28343852849619666
98,0.1787846263766326
99,0.4293394044591952
100,0.43392395261816885
101,0.18770808456686533
102,0.19993233372570368
103,0.3383000575421421
104,0.20105513553113247
105,0.34003600997339023
106,0.17980479183390444
107,0.3400725108894858
108,0.08794487394957914
109,0.3241671957805554
110,0.31589083219943753
111,0.3393739642357688
112,0.13460259984524447
113,0.35461283058186127
114,0.06527852902896136
115,0.4217705237374064
116,0.3627354270282338
117,0.20126386411591296
118,0.3478955965233772
119,0.09230983972439386
120,0.15458801796343302
121,0.29989252111372894
122,0.1031776924223998
123,0.3482266013148057
124,0.10122284298739989
125,0.25872574843668894
126,0.1515239641519197
127,0.10596841279219614
128,0.008447496710212868
129,0.4118446443386104
130,0.43394643703504904
131,0.1347959503159723
132,0.03386984128980281
133,0.44270619133393
134,0.201503906241718
135,0.3836061683645398
136,0.1707286162865573
137,0.04222546525708229
138,0.04606472926880776
139,0.18488499490411833
140,0.08333530532005338
141,0.1222044165422224
142,0.2561214950511611
143,0.2683585609977565
144,0.008257142939580566
145,0.3233785064698618
146,0.2824548639910931
147,0.12639940045272224
148,0.03363487742066911
149,0.3473995990768303
150,0.337290943202288
151,0.39506636636640013
152,0.14893983969610822
153,0.11742219708634158
154,0.33789302409704125
155,0.25907677245741534
156,0.03265470502469201
157,0.31532299174066636
158,0.3949159659948157
159,0.10120861083880964
160,0.12534940568384376
161,0.1425566791468757
162,0.34797697148883117
163,0.18683055904688894
164,0.09179705756468158
165,0.15769434254698375
166,0.532849194563722
167,0.24255211955415076
168,0.04209876500008263
169,0.098940099225574
170,0.34821390608140507
171,0.12487639105552083
172,0.3016490310694682
173,0.30795214518777303
174,0.1514906940364501
175,0.025281155144155888
176,0.5259259220208333
177,0.2512059344680083
178,0.1707286162865573
179,0.040814757542844915
180,0.00816488517042347
181,0.092577338403102
182,0.24231154310299755
183,0.375961398047655
184,0.042240124523715165
185,0.09271935709122951
186,0.08418088432526126
187,0.3639332337966672
188,0.2673439100256571
189,0.24200060791036632
190,0.21726416946346752
191,0.3380907648380899
192,0.23419192906441053
193,0.10935129723294211
194,0.21058055932395214
195,0.38008775916594395
196,0.1171337752508897
197,0.0005566835107909299
198,0.3364760154026571
