dataset,GoodReadsDatasets_SWTest/GoodReads_2850_308t
ALPHA,0.1
G_Size,5
Iteration Count,83
worker_id,worker_ability
0,0.6061245249647406
1,0.968687656722185
2,0.6450047979013129
3,0.7471241806964668
4,0.4411653739365929
5,0.40374743038618904
6,0.4621773104343695
7,0.5880321416898568
8,0.39426144415067127
9,0.6304927989888621
10,0.3954799631876532
11,0.4120971650197425
12,0.6009144029676112
13,0.4868544217608238
14,0.4078277926456577
15,0.646239338579639
16,0.46146958061871496
17,0.4134635463949936
18,0.31237014347198483
19,0.5364043516632887
20,0.7946162800248231
21,0.7851373813573269
22,0.3857622935960204
23,0.5161654928758126
24,0.6339833663532598
25,0.609670400450449
26,0.34233036815459184
27,0.513803933563718
28,0.7748760395253079
29,0.7930825605757978
30,0.6711635246211161
31,0.28339157246295277
32,0.4388989111236632
33,0.5276239892061451
34,0.29800594400617647
35,0.4145332879067568
36,0.5906575014124783
37,0.9501760273563737
38,0.49779403515789006
39,0.6812206236599668
40,0.38574102934508786
41,0.3037349253007711
42,0.548665608994322
43,0.23305549803601522
44,0.33760094154975784
45,0.5396368067869894
46,0.6881727466692427
47,0.18908634323113613
48,0.5657151032468669
49,0.5667708850522832
50,0.30829675866325934
51,0.4902362712903946
52,0.5871519819223171
53,0.42632802242867823
54,0.36782859184594047
55,0.37554647059417645
56,0.3757266872505928
57,0.5547076253430918
58,0.4039463439194968
59,0.3168328609774806
60,0.41214855417121854
61,0.3864906684985748
62,0.5970362683572856
63,0.246275625304247
64,0.5055567095187723
65,0.5032295715101991
66,0.4391625840669826
67,0.4762591707900872
68,0.21860272959412197
69,0.3652309196461634
70,0.48190928331349525
71,0.6476470939584331
72,0.4054907406867669
73,0.4464346495635801
74,0.4683930951371827
75,0.4237866014917028
76,0.41240263629349533
77,0.20957675680122317
78,0.5891306701434701
79,0.31254460838786635
80,0.27500428208142935
81,0.49025890042200687
82,0.435537793008413
83,0.367575032639974
84,0.3077956287652609
85,0.566410300342965
86,0.5695712152712774
87,0.3781940162245067
88,0.8454229767730768
89,0.4402910128354875
90,0.4747263396262901
91,0.34976196147401556
92,0.1635316554907116
93,0.4518377403727255
94,0.40817250378706665
95,0.6032825566576406
96,0.6226582308746622
97,0.40107839938783507
98,0.37593184297354587
99,0.5562327861544631
100,0.29144199928675524
101,0.5353748369136466
102,0.3313522046786323
103,0.4301570770137582
104,0.7082835635906732
105,0.3022405646348174
106,0.17496248842083895
107,0.28707580138215283
108,0.41563564570435024
109,0.4654146853665889
110,0.4807355412442962
111,0.3528979843295736
112,0.4570440332808965
113,0.4300893776661786
114,0.3177646800454861
115,0.6015649246680441
116,0.5464296056078018
117,0.3453869091773349
118,0.4916098456442801
119,0.4091220401273353
120,0.34658565363776284
121,0.3632391246469769
122,0.41287710136565947
123,0.5392634152239553
124,0.2321200905679455
125,0.7542975658020841
126,0.3289491553145146
127,0.6424064204658471
128,0.31597493102696234
129,0.6757591553023001
130,0.37989918084252156
131,0.3379992256663084
132,0.3756812291820265
133,0.5956316196986691
134,0.4175670791521734
135,0.6789080410567989
136,0.38248116145009814
137,0.7198582729893849
138,0.642344168312434
139,0.7540859200776304
140,0.5619277382173461
141,0.6655572166440968
142,0.5129665455567683
143,0.7403686169487027
144,0.5649950233188795
145,0.5780769829285074
146,0.42277311464559164
147,0.37789194862079667
148,0.43127696220530165
149,0.3741051966261902
150,0.2742395611240657
151,0.42719634280183855
152,0.5128939882534204
153,0.08164472684968174
154,0.5090990315829518
155,0.6939644080839378
156,0.44263689585771254
157,0.3602056344178256
158,0.2764365681009957
159,0.5349712602909977
160,0.40422972474162994
161,0.3129757885970194
162,0.5728044692597909
163,0.2876463465162351
164,0.6522070799664503
165,0.5997160280965889
166,0.3924509920299627
167,0.4374133036470764
168,0.3629367722386118
169,0.44865661082711433
170,0.6868852140570596
171,0.4795828759380423
172,0.44766753872541465
173,0.30801242440012555
174,0.30563158229194837
175,0.42182365490467594
176,0.41033387548676553
177,0.2532141480014397
178,0.34626881302316165
179,0.4984352646930911
180,0.7068500507888748
181,0.767165474939883
182,0.4715000683398144
183,0.3613945591473816
184,0.5339611171513337
185,0.2877600405966388
186,0.6480167718252844
187,0.45260813960905366
188,0.5898666899811773
189,0.6466277517334473
190,0.44063360957284387
191,0.5687894262111826
192,0.4688768288465701
193,0.26056936971269823
194,0.561377394772426
195,0.2995086892377326
196,0.3252610253850437
197,0.5507426043227179
