dataset,GoodReadsDatasets_SWTest/GoodReads_2850_308t
ALPHA,0.1
G_Size,5
Iteration Count,83
worker_id,worker_severity
0,-0.38191278207116236
1,-0.8438226494976266
2,-0.039741178060230455
3,0.07142714996301051
4,0.04795652002582815
5,-0.15863123685279243
6,0.21977762289022232
7,0.029045125114231643
8,-0.37595501320539004
9,0.23015020102160946
10,-0.11784012133157916
11,0.608489669438444
12,-0.10925801964097469
13,0.36273593433964285
14,-0.005166953440185078
15,0.0116623409599142
16,0.24706342589514943
17,0.2551327237148048
18,-0.3449374748455914
19,-0.15931892264309738
20,-0.687873320631993
21,-0.07436351521014667
22,-0.02068155324381021
23,-0.02725224212634576
24,-0.4940467846523522
25,0.049555332836793406
26,0.3076620546114868
27,0.09793630080624033
28,-0.02452638431840728
29,-0.48782481498641633
30,-0.2786337292061729
31,0.40979702454107525
32,-0.37902710210596896
33,0.16240997690050654
34,0.28767481996915173
35,0.14702355512423287
36,-0.8015166112752998
37,-0.2963372649205651
38,0.3273346196959096
39,-0.02883903045385381
40,0.37074461086813165
41,0.14896120725942877
42,0.25479585867103216
43,0.8420892344238674
44,-0.1452512137831637
45,-0.057826643956667076
46,-0.26318557575867446
47,0.6297528979402879
48,-1.3258414985211522
49,0.3723854612959987
50,0.8767465275756648
51,0.6168690512888506
52,0.3030951798100781
53,0.036439310447356155
54,-0.06264659115158215
55,0.24852809617775312
56,0.3547592182602657
57,-0.08574314571326756
58,-1.1283271679067575
59,-0.3520361762715362
60,0.4440741780176322
61,0.4303566786810938
62,-0.27761736130812875
63,0.6911279747702452
64,-1.7086906181353056
65,0.20726423444726955
66,0.544089873185629
67,-0.168048803981165
68,0.5243661641850313
69,0.025450260184748205
70,-0.1994264948246224
71,-0.24258623514007766
72,-0.05916532296015527
73,0.3087467766068381
74,-0.7965776083590246
75,0.18449829904128948
76,0.09187753836735453
77,0.45238537039500815
78,-0.2753325135693493
79,-0.33748650682806247
80,0.11605670611881846
81,-0.4566552088436702
82,0.6207443749874613
83,0.7291501548806409
84,0.20888904136438355
85,0.17013138050064414
86,0.16829541414598642
87,0.3408536013976533
88,-0.5217827852009806
89,-0.726422982864937
90,-0.23587586919156814
91,0.4493003055390001
92,0.10426066039809254
93,0.0026598014229251505
94,0.3027164056344684
95,-0.43548063905306283
96,-1.0962987244407085
97,0.41782201400463975
98,-1.1227796189856731
99,-0.04148954269794515
100,0.3165287191510027
101,-0.33713616373659916
102,0.24186973268959236
103,0.25610942738763925
104,-0.00365304740661391
105,0.5269324706655674
106,0.1944312449435593
107,-0.09768509611407182
108,0.20615584154139924
109,-0.2441559866760647
110,-0.31417976882250975
111,0.33959002470487426
112,-0.7062962607741021
113,-7.788373639915556e-05
114,-0.5409353118395092
115,-1.0034553588298423
116,-0.37620731785042494
117,0.22178020133768303
118,0.024137388966968876
119,-0.00024444251119557837
120,0.26622124114653845
121,-0.34203839285568455
122,-0.03448901170095444
123,-0.09222704194115461
124,0.9260787972981465
125,0.016498248698043814
126,-0.6375452388262511
127,-0.9862900520854946
128,-0.3180726733949972
129,-0.4537939014332204
130,-0.36938289181801914
131,0.38433021352892444
132,0.4086279936439384
133,-1.0148638494606461
134,0.0726349314241837
135,-1.5481746362859736
136,-0.03817954756853862
137,-0.26248827256104146
138,-0.8870709000755806
139,-0.6321015378963796
140,-0.21060911510663433
141,-0.9729781655835852
142,-0.4771053962039458
143,-0.24285615623143023
144,-0.4864429782798229
145,-1.2485418589966095
146,0.11908082404143157
147,0.269825758399067
148,-0.07120667149410041
149,-0.2901079673196146
150,0.03219242936882721
151,0.2313873742221723
152,0.13676828218633075
153,0.021208766434540793
154,-0.4404768314210418
155,-0.2983913109730138
156,0.5795952181171934
157,-0.8295770820952275
158,0.02332399464971216
159,0.23219057113247035
160,-0.21490934018914812
161,0.10783644708801193
162,-0.8801167320005878
163,0.13319588548641112
164,-0.3537860302773525
165,-0.8707521993212164
166,0.5238628126533326
167,0.23731205350640946
168,0.37892173477070373
169,-0.0081410684895092
170,0.1874774512157662
171,0.21648360785583692
172,-0.09855170568778081
173,0.30235118214819634
174,0.9622756697605303
175,-0.43502321594834165
176,0.052586181444627615
177,-0.13126899800740904
178,0.0888325484734553
179,-0.16393494636130673
180,-0.14803320787891058
181,-1.1901412233046198
182,-0.7823437807609552
183,0.16214180247877372
184,-0.10407014918654876
185,-0.0912257739255182
186,-0.3994100051474077
187,-0.5287820623435936
