dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_1227w_14r
ALPHA,0.1
G_Size,5
Iteration Count,45
worker_id,worker_ability
0,0.7796167408802634
1,0.3655355686487265
2,0.4679870297337168
3,0.5669072932025899
4,0.5952893804395692
5,0.5384273405939048
6,0.45935136255446024
7,0.4059822111321983
8,0.6766242006986879
9,0.4187922002584527
10,0.37650699113665315
11,0.29843581310660766
12,1.0042056143541866
13,0.17193428144827835
14,0.40538068108210495
15,0.22206669760905914
16,0.7433160771184545
17,0.298524346555113
18,0.36662049148551423
19,0.4848875478186228
20,0.4130326668193474
21,0.23136147901213786
22,0.21031637486675847
23,0.7114651578878738
24,0.06882177176299009
25,0.7066183097791245
26,0.5602084481999573
27,0.675881653974476
28,0.17751065708051342
29,0.373098827477347
30,0.8528581009445699
31,0.23106009405120045
32,0.4072817719171652
33,0.3773801089387032
34,0.4801640243756587
35,0.31704678022409843
36,0.4679561978034037
37,0.5527696878988083
38,0.12169657872727033
39,0.21650985890972962
40,0.3100077167140851
41,0.4096067743201316
42,0.4758051869153798
43,0.21687058568756448
44,0.08459950810147818
45,0.7668054140912937
46,0.7369192768083386
47,0.39569525741577155
48,0.224547538538555
49,0.32522140863961846
50,0.18674927925921395
51,0.38038670447116424
52,0.17478765075634667
53,0.17890113065708227
54,0.20075242100871066
55,0.5694783164983972
56,0.4640613600349569
57,0.4064394394726647
58,0.46229336514759595
59,0.45868023271586666
60,0.2737787736687872
61,0.15434526750069186
62,0.4192963489993325
63,0.3488825211440443
64,0.6198362892406744
65,0.3572778767298472
66,0.19078171427384774
67,0.28338713228825646
68,0.3157354506197522
69,0.3308244832169735
70,0.37691511392220833
71,0.35570093040930223
72,0.6416681247440474
73,0.7073948633865111
74,0.5558325747703823
75,0.5110629882970045
76,0.41017991026391054
77,0.4591014233809589
78,0.3810403957042204
79,0.3738216213620898
80,0.2377881189521608
81,0.463984459956242
82,0.2634531853591868
83,0.09660121225284271
84,0.37683682393587803
85,0.3583049370235225
86,0.06704414941308644
87,0.8978823718366553
88,0.2506628655403075
89,0.11501485425745556
90,0.3103584575023232
91,0.2938465190493542
92,0.2491914407109683
93,0.30097405968720975
94,0.347090022944991
95,0.14341860889213198
96,0.514848915122604
97,0.09527691403970395
98,0.14522160557735325
99,0.14177511092797618
100,0.15160854283029648
101,0.22795429187833616
102,0.5074561435526864
103,0.2053989061694569
104,0.20905159774019713
105,0.43944238484528886
106,0.3550806813230948
107,0.39444248840514184
108,0.3487329270277472
109,0.5031274319259206
110,0.1584409414980068
111,0.31903195183233
112,0.35271948351475085
113,0.02236114810677864
114,0.722085961986924
115,0.2015253541012201
116,0.2239684942746969
117,0.17273150594219547
118,0.5238329193611974
119,0.7445661486620571
120,0.14752502357956004
121,0.05631766400617615
122,0.22743443732062985
123,0.34341369202724753
124,0.1368471579331148
125,0.32128466300677283
126,0.2538365528321001
127,0.2354721184028819
128,0.38640436625145225
129,0.22036889584669594
130,0.09436594320965808
131,0.4960302433602932
132,0.33278235196373956
133,0.5552443808764578
134,0.41048342810288607
135,0.2064709848936535
136,0.10230170946012983
137,0.5794351893557345
138,0.22514758935784415
139,0.0941749914658207
140,0.4568290407383142
141,0.3654413577748601
142,0.20223407828973022
143,0.36313440138791786
144,0.3774198113086493
145,0.20040494302363393
146,0.039393844289268246
147,0.22751974559336366
148,0.44577948543832174
149,0.2537204274570313
150,0.47125267284913946
151,0.19732210302091507
152,0.18967758330565326
153,0.4806475670893426
154,0.40413568498080304
155,0.45473311538659145
156,0.09442035357632216
157,0.367527411750646
158,0.0994642561603006
159,0.43424674978958444
160,0.2221061671136816
161,0.15447275998365115
162,0.2110406209907083
163,0.24906494234423235
164,0.3370835503202437
165,0.2635723832512551
166,0.13112481862752187
167,0.27690238547270524
168,0.21906865985112683
169,0.7408639799962901
170,0.5245279549352025
171,0.2832142349974641
172,0.5892683874322276
173,0.28432521691829266
174,0.5936072397914931
175,0.5211771976698536
176,0.3273644864298262
177,0.5272629866307441
178,0.425110011142043
179,0.5031564880147775
180,0.35066647398746403
181,0.26299478219191974
182,0.23340301488003534
183,0.2646294141971505
184,0.17180362086011428
185,0.2049053330889502
186,0.5111328585665362
187,0.016222128959935238
188,0.38389673839180144
189,0.3133269530679758
190,0.2125745935624871
191,0.5261311479784203
192,0.1556439324504515
193,0.023569362840020206
194,0.24573316404527693
195,0.1650090673177042
196,0.3504893440084774
197,0.25671304140113144
