# 节点数  边数   ,72166  293298
26777,67277
26777,58458
26777,71330
26777,54533
26777,71762
26777,40640
26777,21169
26777,47918
26777,15485
26777,36381
26777,57052
26777,805
26777,39419
26777,57396
26777,38800
26777,44412
26777,31534
26777,48108
26777,49185
26777,61036
26777,19382
26777,54148
26777,24024
26777,63846
26777,69444
26777,15225
26777,23640
26777,6232
26777,41390
26777,988
26777,60351
26777,4232
26777,53972
26777,12262
26777,49561
26777,19757
26777,1716
26777,2988
26777,42701
26777,17671
26777,53981
26777,31906
26777,19710
26777,64993
26777,31512
26777,42887
26777,63761
26777,13932
26777,51550
26777,10338
26777,951
26777,65266
26777,48853
26777,46260
26777,11968
26777,13799
26777,47550
26777,15413
26777,14563
26777,70663
26777,2633
26777,49481
26777,23234
26777,46357
26777,44950
26777,1469
26777,2881
26777,64676
26777,32351
26777,4683
26777,2785
26777,10100
26777,8879
26777,65341
26777,16045
26777,28441
26777,43578
26777,33654
26777,6407
26777,14682
26777,9770
26777,70253
26777,6236
26777,5604
26777,15177
26777,46809
26777,23502
26777,44718
26777,13632
26777,49377
26777,2288
26777,2847
26777,13638
26777,5915
26777,60628
26777,44765
26777,44551
26777,13595
26777,46837
26777,34937
26777,31510
26777,48667
26777,13910
26777,13403
26777,29049
26777,4309
26777,55298
26777,30594
26777,51693
26777,41124
26777,56856
26777,33407
26777,17749
26777,69564
26777,39176
26777,3756
26777,2416
26777,54408
26777,51619
26777,48332
26777,22722
26777,33132
26777,56405
26777,36084
26777,24030
26777,13256
26777,3149
26777,22290
26777,46720
26777,9773
26777,6862
26777,35761
26777,35308
26777,38174
26777,63950
26777,31078
26777,34685
26777,9384
26777,70791
26777,207
26777,17123
26777,31006
26777,43366
26777,71662
26777,10056
26777,30907
26777,46944
26777,48212
26777,52047
26777,44501
26777,40491
26777,30852
26777,2758
26777,46821
26777,13902
26777,5179
26777,25956
26777,9128
26777,42230
26777,133
26777,19852
26777,49261
26777,29713
26777,11029
26777,36146
26777,8869
26777,13954
26777,55420
26777,12057
26777,44853
26777,23388
26777,51239
26777,50058
26777,4192
26777,53775
26777,30948
26777,14245
26777,13594
26777,20124
26777,30969
26777,43789
26777,53720
26777,51527
26777,590
26777,35099
26777,16601
26777,42190
26777,2112
26777,16123
26777,19782
26777,49573
26777,27685
26777,33996
26777,48040
26777,38093
26777,53739
26777,56942
26777,41642
26777,11223
26777,9594
26777,28827
26777,41869
26777,35736
26777,6705
26777,4448
26777,49215
26777,47056
26777,12688
26777,60678
26777,11200
26777,51528
26777,4597
26777,20179
26777,42009
26777,31255
26777,10268
26777,11496
26777,40143
26777,45177
26777,38289
26777,12014
26777,44299
26777,17084
26777,36400
26777,19284
26777,2893
26777,4936
26777,66524
26777,49564
26777,5901
26777,24011
26777,31499
26777,45167
26777,26758
26777,36685
26777,2939
26777,6583
26777,24610
26777,28245
26777,1915
26777,33940
26777,36166
