dataset,GoodReadsDatasets/GoodReads_309t_108363w
ALPHA,0.2
G_Size,5
worker_id,worker_severity
0,-0.11194911349266586
1,-0.2397485951762526
2,-0.5602887458749068
3,0.10210534338468888
4,-0.0433428229356133
5,-0.08399629394942591
6,0.043786105529335824
7,-0.05794516173906164
8,0.1347415730668241
9,-0.16179492981694474
10,0.08700789333231812
11,0.06636997620897868
12,0.09926322550799858
13,-0.9434905740502483
14,0.07372083052575738
15,-0.2285923100788662
16,0.5357615083871788
17,0.1087675028814618
18,-0.16845767798223263
19,0.07300651885528843
20,-0.03722866911004519
21,-0.04417747479696937
22,0.21369254447004898
23,0.11470850603270666
24,-0.24499180048070082
25,0.20000000000000018
26,-0.4179763699077286
27,-0.199143232631946
28,0.27549137345791286
29,-0.5200991294438444
30,0.061394062970673215
31,-0.09268309842262333
32,0.16585575870373007
33,-0.13458277751301953
34,0.3356543692012178
35,-0.9597216317795126
36,-0.038339687490109804
37,0.22169565624094054
38,-0.4972896214501797
39,0.013722346294299134
40,0.40503151801599674
41,0.12279590140462082
42,0.011670120317401795
43,-0.20722716014111653
44,-0.37282545668962125
45,0.4754416807796007
46,-0.062022761890574596
47,-0.2696754960372684
48,0.10967484582942019
49,0.2591830092777737
50,-0.04631334643574816
51,0.14746758463984477
52,-1.6671537148820803
53,-0.6569859605600192
54,0.5161025018163474
55,-0.15691065563811218
56,-0.06928384678293137
57,-0.16742220809563732
58,0.12571152137249603
59,-0.03424699418049282
60,0.1588447528279156
61,-0.6719215650109187
62,0.5046974739652286
63,0.2801192237325114
64,1.2000000000000004
65,-0.6206163367217201
66,0.21333333333327803
67,0.41739878648187634
68,0.17556195056298887
69,-2.37241229627657
70,0.7835305689028264
71,-0.09100400116640095
72,0.06392302169241292
73,0.03986119980104488
74,-0.3516285530476923
75,-0.1679433162233476
76,0.9803742435814582
77,-0.10943329071637682
78,0.8334169064549884
79,0.5908273773498881
80,0.5646569369367052
81,-0.8192874568479092
82,-0.5305025552262796
83,0.26001809476988297
84,0.625523603780136
85,0.6657238508086623
86,-0.020589179190366236
87,-0.38009455199978986
88,0.9619772853874803
89,-0.30720453913255236
90,-0.08604752973297572
91,0.18077273257288584
92,0.030171977597309222
93,0.017198070077545622
94,-1.769009009009009
95,0.14320399182298857
96,0.02090187863188901
97,-0.7240955513179282
98,0.0856589686587263
99,0.1858459898935861
100,0.019047619047567275
101,0.05893674327080564
102,-0.23390201168171315
103,1.0756024096385544
104,-1.0433056753423036
105,0.016313697196041015
106,-0.6878800170794194
107,0.20000000000000018
108,0.19139882299380243
109,0.050854335613302055
110,-0.38539666013198504
111,0.07837474771077096
112,0.28840728866583154
113,0.24972134415346178
114,0.8692876776670839
115,-2.8
116,0.36042724510199425
117,0.4615716285270959
118,-0.3263108469190658
119,-1.454430379746597
120,0.22585390802886893
121,0.5129032258064519
122,0.14140792393732504
123,-1.4528720548377878
124,0.5377207915150921
125,1.175
126,0.08507922271998927
127,0.17187030198532074
128,0.46619876332159266
129,-0.019001774037095853
130,-0.32052401089537585
131,0.8164305916894649
132,-0.0664870552684992
133,-1.7314180682861269
134,-0.8105402906168575
135,0.6839169406143921
136,-0.3322959944181393
137,0.30728910230946466
138,-0.22545153177382374
139,-0.028355223939648164
140,-1.4557324678239094
141,0.3508069386308889
142,-0.3870421693364771
143,-0.08519872583232153
144,0.36711951289646094
145,0.8650214592039862
146,-0.09799518693539966
147,-0.7414962433424682
148,0.10916522355311334
149,0.46260872930254127
150,0.2658825792437804
151,0.0331396029322274
152,-0.7008211086802872
153,-0.1827372197908851
154,-0.2708200217884713
155,0.2652894272877786
156,0.14231830301759002
157,-0.23962955960055032
158,0.7144696031506113
159,0.6592448311121408
160,0.1454828660436138
161,-0.04971977182485107
162,-0.17996177449892523
163,0.0557240881580323
164,0.32989246609511635
165,-0.22930922903433335
166,-0.2435588446987483
167,-0.22777796074888343
168,0.3939686255621506
169,-0.10244115332486389
170,-0.27653639150141857
171,1.2000000000000002
172,-0.5206409454888309
173,-0.1955076026920973
174,0.22590960252659265
175,-0.13113574412232568
176,-0.018022301094490923
177,-0.7264425977315436
178,0.11476254513405253
179,-0.6847244575674873
180,0.8123323884193219
181,-0.26900857124829836
182,-0.5134025577683158
183,0.37316105078373796
184,-0.1942985473507146
185,-1.0173314399811841
186,0.679429416177145
187,-0.5757685399556095
188,-0.7547103379129545
189,0.40240341070823465
190,-0.36617873640580134
191,0.21797249319223774
192,0.9526509714396958
193,-0.9664031257945527
194,-0.08915823929336585
195,-0.4855242373139686
196,0.02131170486308977
197,0.31250000000000006
198,-0.292609301336216
199,0.2660535618428083
200,-0.9999999999999999
201,0.19124341132821643
202,-0.011939456928368378
203,0.5562464010859223
204,1.2000000000000002
205,-0.026820142445653488
206,0.24776591423557107
207,0.3419225922082442
208,0.06135959921721786
209,-0.18939621517730593
210,0.06786360529545005
211,-0.13782932694820244
212,0.4153149905722623
213,-0.25754300875972064
214,0.08828451818194256
215,0.039231553861514355
216,0.11419190219099142
217,-0.21081871893165932
218,0.4584527220630374
219,-0.6911422145437308
220,0.9307816930742485
221,0.053788050334490224
222,0.04467701189430274
223,-0.2198138786114162
224,-0.09763000852514929
225,-0.6979283926768414
226,0.8828471521558806
227,-0.8592844370382458
228,0.16432432432432445
229,-0.27304832713686994
230,-0.22567923368617626
231,-0.23941521263688123
232,0.0363636363636364
233,-0.5203702802227322
234,-0.45423152764606056
235,1.2000000000000002
236,0.30635070056843383
237,-0.6190115163770549
238,0.38581575180482947
239,-0.032304012097246586
240,-0.05564853556972868
241,-0.5610744358529249
242,0.4244256317348034
243,-0.23007737604344103
244,-0.058959537572292366
245,0.1279389277764969
246,0.20000000000000015
247,0.18125651183026356
248,-0.3561658493089612
249,-0.3217776516388728
250,0.21002186549974503
251,0.025590441789386072
252,-2.2645235424666406
253,0.3114835005447279
254,-0.07806050216561328
255,0.9425148644278283
256,-0.6497017353579173
257,-0.10988826280191674
258,-0.3923392955501098
259,0.02000000000000001
260,-0.11705217758395932
261,-0.7122509018985682
262,0.4090378456463794
263,-0.27544657315827487
264,-0.2982814330955349
265,-0.4997905456260185
266,-0.06380325965855659
267,-0.30439463206016804
268,-0.36123468882606363
269,-0.32695184223374296
270,-0.3612977996284475
271,0.2465442851738236
272,0.15144090103650237
273,0.5195273387886268
274,0.8600574210247349
275,1.2000000000000002
276,-1.0436041860124377
277,0.06190168821577793
278,-1.1762450856457547
279,-0.05741238436086152
280,0.43689770299348424
