dataset,DouBanDatasets_RedundancyCut/Douban_202t_1148w
ALPHA,0.1
G_Size,5
worker_id,worker_ability
0,0.31642241656430314
1,0.15016944888714245
2,0.31508160637541105
3,0.24104164617780116
4,0.12566310996200142
5,0.26388599666396495
6,0.07448636285927274
7,0.19040266183323679
8,0.3854648609589005
9,0.04569320712770296
10,0.2993084530428911
11,0.10299782800014527
12,0.3852666483491471
13,0.10869574745669636
14,0.30336231217114373
15,0.5329207306247219
16,0.23004276136019675
17,0.16021965611693006
18,0.17712620383654973
19,0.10799461923571166
20,0.07591811052619672
21,0.2615123892386954
22,0.1307741197416967
23,0.15189573810679144
24,0.15496358089749052
25,0.5236269970547691
26,0.06915912886535078
27,0.24218882356225088
28,0.22953959218940206
29,0.2617074364375847
30,0.05267441534766952
31,0.2413768615161955
32,0.08989001154442214
33,0.20487736187782465
34,0.23735499136331925
35,0.2542636459500857
36,0.42369971296185893
37,0.1691366490796206
38,0.14288136044847785
39,0.13771788202784258
40,0.3796076861907487
41,0.07249584495873573
42,0.30931319484187203
43,0.20195681077223468
44,0.12419069310571319
45,0.12730362241543075
46,0.2507164212553394
47,0.64260117729391
48,0.43521941259468433
49,0.18512383589019013
50,0.21755742492341873
51,0.25329098913308296
52,0.18590427738489435
53,0.4967004241947272
54,0.08905608161936442
55,0.1286596729781094
56,0.2450420486602423
57,0.15411279074003645
58,0.22820569328689333
59,0.5355992968358594
60,0.551278231064562
61,0.29890602029058433
62,0.16064413132246003
63,0.7703132673589315
64,0.10199791780061841
65,0.14104891019899732
66,0.3952224685428922
67,0.36889187607566154
68,0.26201272990721824
69,0.1709515984106281
70,0.10432466574074836
71,0.2024694000711122
72,0.09406593807612126
73,0.1352047621765255
74,0.14899288870594102
75,0.19141083088956576
76,0.2699045802219076
77,0.12821188209212994
78,0.3085610136808357
79,0.2111323096422708
80,0.38998917890404156
81,0.28900212145782295
82,0.2100854563544951
83,0.40844146334819986
84,0.14386688018499674
85,0.3408338169918036
86,0.2705186410600105
87,0.29416268754192043
88,0.07517832253996172
89,0.1221246517649474
90,0.18425402303326177
91,0.09365651497453614
92,0.1071320916305695
93,0.12044913880451827
94,0.07904033466303552
95,0.10947997490529483
96,0.3669124576096113
97,0.16180754171891099
98,0.17280638385177002
99,0.09882190342966331
100,0.49820099347869534
101,0.07877593284838588
102,0.07337979757512289
103,0.14777040373886338
104,0.13814660780878135
105,0.07903669768479214
106,0.10200307809070973
107,0.30674396466615544
108,0.08838345380095733
109,0.2205996909833086
110,0.251509242814496
111,0.15657756667525854
112,0.11977375092459047
113,0.22251155062089686
114,0.2953071955305644
115,0.07900072434587835
116,0.30220642031850925
117,0.1685499325530543
118,0.09104398486590934
119,0.16048102740954326
120,0.08705521564015864
121,0.1537032416035504
122,0.15431292548018516
123,0.1901010211734786
124,0.4035973664185794
125,0.11975110542293589
126,0.05455307307563749
127,0.33773875568920214
128,0.4278211111540191
129,0.12091592261143178
130,0.14267445036167253
131,0.06486238281147752
132,0.1063563803656633
133,0.08632978385943257
134,0.355411807577887
135,0.3672930170336534
136,0.2792389587479031
137,0.33109873137871987
138,0.2599844101402066
139,0.13373466417404498
140,0.27961899990456357
141,0.3711029133907516
142,0.3249209915734999
143,0.07897944670838708
144,0.08673300911615807
145,0.22810372395903214
146,0.12868363596155472
147,0.2239172909875954
148,0.1383673710613879
149,0.0997130939882154
150,0.6174996642411855
151,0.5810089125358446
152,0.11633854137823055
153,0.15878209112642527
154,0.30798613441221956
155,0.3260221525501586
156,0.11971100178446135
157,0.2250026184230435
158,0.18917069234223688
159,0.1660259035768902
160,0.14227956911814768
161,0.36277878127467095
162,0.22640175517079947
163,0.2752010683441624
164,0.13268363543321243
165,0.12520801645960097
166,0.22930638983890003
167,0.19790883818855864
168,0.13127176927930004
169,0.17274154499039718
170,0.20975410868563682
171,0.10517885318317335
172,0.10302053442277839
173,0.12774699115840069
174,0.12114688364616841
175,0.1279810435035431
176,0.1494675682214851
177,0.14488651528413113
178,0.25471451568915443
179,0.09973621405126656
180,0.18782584614818615
181,0.12668745501009865
182,0.10700765029162676
183,0.3505649843172521
184,0.1246554262133081
185,0.11153517379696995
186,0.1316911622354026
187,0.13266139747235053
188,0.26028909965315106
189,0.12667717201286205
190,0.13313516359936833
191,0.08742238050098747
192,0.36528774298390665
193,0.06820058192124334
194,0.6823263271642788
195,0.3245818380044082
196,0.1667079099794275
197,0.14092294929747756
