# 节点数  边数   ,35947  267172
15704,34125
15704,30072
15704,35694
15704,28205
15704,35823
15704,22819
15704,12425
15704,20849
15704,29384
15704,703
15704,22291
15704,29606
15704,23916
15704,25090
15704,25358
15704,11447
15704,28003
15704,13886
15704,32554
15704,34979
15704,8535
15704,13686
15704,4105
15704,22989
15704,848
15704,30816
15704,2965
15704,27934
15704,7296
15704,25599
15704,11728
15704,1383
15704,2201
15704,10239
15704,27942
15704,18273
15704,11690
15704,33081
15704,18064
15704,23457
15704,32496
15704,7950
15704,26757
15704,6372
15704,814
15704,33223
15704,24546
15704,7138
15704,24913
15704,8624
15704,8249
15704,1931
15704,25532
15704,13502
15704,24074
15704,1218
15704,2112
15704,32980
15704,18575
15704,3230
15704,2037
15704,33267
15704,9007
15704,16615
15704,23672
15704,4205
15704,8294
15704,6120
15704,4109
15704,3774
15704,8515
15704,24703
15704,13637
15704,24013
15704,7871
15704,25449
15704,1710
15704,2080
15704,7876
15704,3928
15704,30959
15704,7852
15704,18063
15704,25251
15704,7936
15704,7779
15704,3030
15704,28545
15704,17706
15704,26849
15704,22928
15704,29246
15704,19225
15704,10299
15704,35022
15704,22155
15704,2675
15704,1799
15704,28152
15704,26800
15704,13265
15704,19055
15704,28993
15704,20674
15704,13888
15704,2322
15704,12984
15704,24667
15704,4438
15704,20502
15704,20242
15704,21775
15704,32605
15704,17866
15704,19920
15704,5872
15704,35505
15704,198
15704,9830
15704,23613
15704,35788
15704,6246
15704,17826
15704,24747
15704,27031
15704,23938
15704,22780
15704,2020
15704,24709
15704,7932
15704,15192
15704,5684
15704,23250
15704,127
15704,11791
15704,17282
15704,6738
15704,20698
15704,5496
15704,7965
15704,28599
15704,7200
15704,13576
15704,26563
15704,25931
15704,2938
15704,27859
15704,17834
15704,8072
15704,7851
15704,17835
15704,23751
15704,27839
15704,26744
15704,537
15704,20135
15704,9452
15704,23240
15704,1559
15704,9068
15704,11746
15704,25610
15704,16216
15704,19583
15704,25060
15704,21734
15704,27848
15704,29311
15704,23042
15704,6826
15704,6027
15704,20490
15704,4373
15704,3115
15704,7467
15704,30976
15704,6819
15704,26745
15704,3175
15704,11942
15704,23164
15704,17946
15704,6346
15704,6949
15704,22652
15704,24137
15704,21830
15704,7174
15704,23897
15704,9805
15704,20864
15704,11361
15704,2122
15704,3344
15704,33772
15704,25602
15704,13881
15704,18056
15704,24135
15704,15686
15704,20957
15704,2160
15704,4309
15704,14216
15704,16519
15704,1472
15704,19555
15704,20708
15704,28923
15704,23019
15704,7088
15704,14110
15704,26920
15704,32951
15704,14120
15704,4532
15704,9775
15704,30313
15704,3724
15704,2224
15704,26406
15704,6034
15704,11524
