entity,num
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,
27,5
28,5
29,5
30,
31,
32,5
33,5
34,5
35,
36,
37,
38,
39,5
40,
41,5
42,5
43,5
44,5
45,
46,
47,5
48,
49,
50,
51,
52,5
53,
54,5
55,4
56,
57,5
58,
59,
60,
61,5
62,
63,
64,
65,4
66,5
67,5
68,
69,5
70,
71,5
72,5
73,4
74,5
75,
76,
77,
78,5
79,
80,5
81,
82,5
83,
84,5
85,4
86,5
87,5
88,
89,
90,5
91,5
92,5
93,5
94,5
95,
96,5
97,5
98,
99,4
100,5
101,
102,
103,5
104,
105,5
106,5
107,5
108,
109,
110,
111,
112,
113,
114,
115,5
116,
117,
118,
119,5
120,
121,
122,
123,5
124,
125,
126,5
127,4
128,
129,5
130,
131,
132,5
133,5
134,5
135,
136,
137,5
138,
139,
140,4
141,5
142,5
143,
144,5
145,
146,
147,
148,
149,
150,
151,
152,
153,5
154,5
155,
156,
157,
158,
159,5
160,
161,
162,
163,
164,
165,
166,5
167,
168,5
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,4
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,4
190,
191,
192,
193,4
194,
195,
196,
197,
198,
199,
200,
201,4
