dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_1029w_12r
ALPHA,0.1
G_Size,5
Iteration Count,64
task_id,prediction_label
3,3.4066134729568445
0,3.408811194681525
7,3.7791973714502705
14,3.77806766367358
20,4.107990893134617
21,3.976869682697382
298,4.033049593696607
297,3.9792219308244112
25,4.107161224733241
294,3.863223276614945
293,4.347465141033841
40,3.9979943920506567
41,3.827492418479
44,3.891442585765991
272,3.8022601961732088
270,4.099436405777761
60,4.799150789947414
66,4.534190221034531
70,4.037796995950596
100,3.8805405032590916
199,4.490754687243697
194,3.8985498287977047
300,4.063310798463135
62,3.9577024784483834
67,3.410473928037651
254,3.4063226550550096
244,4.8
234,3.4082308910774044
93,3.074226765458145
105,4.102214821825739
158,4.09999943225799
154,4.786633627115101
5,4.492467946122772
6,4.086281255011287
42,3.1364083015882556
45,3.984506863039858
46,4.497035627074158
73,3.96743057833526
74,3.83843479972182
152,4.099999644402012
4,3.971036921310808
308,4.043101404704627
9,3.4062564305591496
11,3.7724694102326515
12,4.016034607856415
15,4.321418897231641
304,3.873724938988344
301,3.997215200959583
295,4.493529699695172
28,4.0955523866279835
32,3.7554998633654177
33,3.8038918971186626
37,4.090269860820468
38,4.500003259775986
39,3.426618214934045
43,3.399873604356319
49,4.027346281607004
50,4.084285741445134
51,4.020900162246097
54,4.084794991374104
271,3.4245876491518707
269,3.0987524943038127
56,3.81341108821569
268,3.815754169938757
58,3.899665490084682
59,3.0945565674787185
264,4.058637497283409
61,4.070500546285132
263,4.070773980097818
262,3.429318481111109
63,3.414401506674146
64,4.005124147779356
65,4.044164607813871
261,4.493909766426342
260,4.476212784379627
258,4.0603539197082545
257,4.499801872548846
256,3.0918391658279263
75,4.02406168718512
251,4.099988197827252
249,3.9999999980470466
246,3.3853675602660345
240,4.458407472829376
239,3.4086018295859324
238,4.499997940012111
85,3.4635299880835557
88,3.9145976781546716
89,4.248508266474183
91,3.955700020345129
92,3.8942027447257055
94,3.491016714055877
95,4.071991009900798
212,3.8818874930173233
211,4.799999330163839
112,3.80102818465409
193,3.9139003517459336
8,3.402258580041889
16,3.747583515241914
17,3.9343626553628694
18,4.058708098549963
19,3.768238854739586
299,4.495161305423538
24,4.035468728766483
30,4.073875229206749
71,4.47231883717245
242,3.415634840661632
236,3.899280000654079
96,3.4045737481183425
97,3.40597553784085
98,3.8003966465532026
101,3.816864505231122
102,4.118418875050998
103,3.900000000007182
106,4.012783355987672
107,3.8281564224045384
108,3.8616118809025632
109,3.437105294653307
114,4.076200384323689
115,3.426159280047111
302,4.121990268789159
252,4.499994054882595
233,4.069213326103543
86,4.13153158816817
231,4.061682966644124
90,3.8077439926670675
245,4.490982235487228
34,3.9004594441819993
36,3.900033292961798
78,3.4038368197536983
113,4.037910318287879
306,4.500010315254746
307,4.5000047154564875
13,3.7587328073814605
305,4.499081316712452
303,4.501106152938817
26,4.501227173377337
232,3.6152135591417034
222,4.099584998474541
217,3.8415919457368344
134,4.0999913296846255
138,4.496337769881817
140,4.099999997261601
142,4.499999958160427
170,4.000000012315378
143,3.8075799506964527
167,4.0
166,4.11174053943861
165,4.000000000006036
163,4.499905486118652
160,4.000000015504448
159,3.400000150374868
156,3.400085581964874
157,4.099999424365017
296,4.0999979851328625
83,4.0
290,3.800545775973834
277,4.49999952770478
237,4.099999999905217
110,3.103141793097773
57,4.799999926185246
275,4.095397798778143
69,4.077568600586634
235,3.399196414026458
202,4.099991808019172
1,3.4010097534593595
53,4.089019956127501
2,4.500454972336309
31,4.0433829262421845
243,4.49947824419516
119,4.09962402686903
10,4.119797091663515
84,4.8
35,4.0574355494689796
188,3.800953547155916
146,4.099983559622695
203,4.499999995293374
247,3.769694214940896
285,4.500217506727936
29,3.856931771946722
52,4.110878913992922
135,4.503907953996187
176,4.0
77,3.401463627422849
47,4.0
48,4.499315772103949
55,4.118895367751173
266,4.046740862402641
259,4.499886535761965
68,4.070119181578135
255,4.500005580477019
72,4.068943063851092
205,3.8006117606528504
191,4.496525659433885
206,3.5964588882478905
23,4.032232990466589
273,3.899999997903138
183,4.8
150,4.499999980429212
27,4.099999409807465
169,3.899999638111118
213,3.4016871796478236
192,4.1044453218882735
200,3.801978173158574
99,4.197349648335518
267,3.0177598874142353
125,3.400000258016255
164,3.900003837542603
161,4.099999153419295
118,4.0
76,4.0
248,3.9696248447370315
79,3.0999999996365393
82,3.400000359606116
117,4.099988712916552
145,3.8058926869623764
