task_id,truth
0,4.2
1,3.9
2,3.6
3,4.3
4,4.4
5,4.5
6,4.0
7,4.4
8,4.0
9,4.1
10,4.6
11,4.2
12,4.1
13,4.0
14,4.6
15,4.5
16,4.2
17,3.9
18,4.4
19,4.2
20,4.0
21,3.7
22,4.0
23,3.8
24,4.1
25,4.0
26,4.2
27,4.3
28,4.3
29,4.1
30,4.4
31,4.7
32,4.7
33,4.3
34,4.3
35,4.2
36,3.8
37,4.0
38,4.4
39,4.0
40,4.0
41,4.4
42,4.8
43,3.2
44,4.5
45,4.8
46,4.6
47,4.3
48,4.4
49,4.3
50,4.7
51,4.2
52,4.1
53,3.8
54,4.3
55,4.5
56,3.8
57,3.6
58,4.7
59,4.5
60,4.5
61,4.2
62,4.4
63,4.4
64,4.5
65,4.7
66,4.2
67,4.1
68,4.6
69,4.4
70,4.3
71,4.2
72,4.8
73,4.0
74,4.3
75,3.9
76,4.4
77,4.4
78,3.8
79,4.4
80,4.5
81,4.0
82,4.2
83,4.4
84,4.3
85,4.6
86,4.4
87,4.4
88,3.9
89,4.5
90,4.2
91,4.6
92,4.7
93,4.3
94,4.0
95,3.9
96,4.4
97,4.1
98,4.1
99,4.4
100,3.9
101,4.3
102,4.5
103,4.2
104,3.8
105,4.6
106,4.5
107,4.3
108,4.1
109,4.3
110,4.5
111,4.4
112,3.8
113,4.1
114,4.5
115,4.3
116,4.5
117,4.4
118,3.3
119,4.5
120,4.8
121,4.0
122,4.8
123,4.6
124,4.6
125,4.6
126,4.1
127,4.0
128,4.0
129,4.5
130,4.2
131,4.0
132,4.4
133,4.5
134,4.6
135,4.6
136,4.4
137,3.8
138,4.7
139,4.4
140,4.2
141,4.3
142,4.3
143,4.4
144,4.2
145,4.4
146,4.6
147,4.6
148,4.4
149,3.8
150,4.2
151,3.2
152,4.5
153,3.9
154,4.2
155,4.7
156,4.1
157,4.2
158,4.4
159,4.3
160,4.0
161,4.8
162,4.5
163,4.2
164,3.9
165,4.5
166,4.7
167,4.8
168,3.7
169,4.7
170,4.4
171,4.2
172,4.1
173,4.3
174,4.1
175,3.8
176,4.7
177,4.2
178,4.7
179,4.0
180,4.7
181,4.5
182,4.1
183,4.4
184,4.4
185,4.3
186,4.5
187,3.0
188,4.7
189,4.7
190,4.4
191,4.9
192,4.6
193,4.2
194,4.0
195,3.8
196,4.4
197,4.4
198,4.5
199,4.3
200,4.4
201,4.9
202,3.7
203,4.2
204,4.7
205,4.4
206,4.4
207,2.8
208,4.5
209,4.4
210,4.6
211,4.5
212,4.5
213,4.3
214,4.5
215,4.3
216,4.3
217,4.7
218,4.1
219,4.4
220,4.6
221,4.3
222,4.3
223,4.3
224,4.3
225,4.7
226,4.5
227,4.5
228,4.3
229,4.7
230,4.3
231,4.1
232,4.2
233,4.2
234,4.2
235,4.7
236,4.9
237,4.6
238,3.8
239,3.6
240,4.2
241,4.1
242,4.3
243,3.2
244,3.6
245,4.5
246,4.3
247,3.6
248,3.9
249,4.4
250,4.2
251,4.3
252,4.7
253,4.2
254,4.4
255,4.5
256,3.7
257,4.8
258,4.2
259,3.8
260,4.7
261,4.3
262,4.4
263,4.1
264,4.5
265,3.7
266,4.1
267,4.6
268,4.2
269,4.6
270,4.7
271,4.8
272,4.1
273,4.3
274,4.1
275,3.5
276,4.6
277,4.0
278,4.1
279,3.9
280,4.0
281,4.8
282,4.5
283,4.2
284,4.4
285,4.7
286,4.7
287,4.0
288,3.9
289,4.6
290,3.8
291,3.6
292,4.0
293,3.6
294,4.7
295,4.0
296,3.8
297,4.1
298,4.1
299,4.8
300,3.0
301,4.1
302,5.0
303,4.6
304,3.5
305,4.8
306,4.3
307,4.8
308,4.5
