task_id,truth
0,4.2
1,3.9
2,3.6
3,4.3
4,4.4
5,4.5
6,4.0
7,4.4
8,4.0
9,4.1
10,4.6
11,4.2
12,4.1
13,4.0
14,4.6
15,4.5
16,4.2
17,3.9
18,4.4
19,4.2
20,4.0
21,3.7
22,4.0
23,3.8
24,4.1
25,4.0
26,4.2
27,4.3
28,4.3
29,4.1
30,4.4
31,4.7
32,4.7
33,4.3
34,4.3
35,4.2
36,3.8
37,4.0
38,4.4
39,4.0
40,4.0
41,4.4
42,4.8
43,3.2
44,4.5
45,4.8
46,4.6
47,4.3
48,4.4
49,4.3
50,4.7
51,4.2
52,4.1
53,3.8
54,4.3
55,4.5
56,3.8
57,3.6
58,4.7
59,4.5
60,4.5
61,4.2
62,4.4
63,4.4
64,4.5
65,4.7
66,4.2
67,4.1
68,4.6
69,4.4
70,4.3
71,4.2
72,4.8
73,4.0
74,4.3
75,3.9
76,4.4
77,4.4
78,3.8
79,4.4
80,4.5
81,4.0
82,4.2
83,4.4
84,4.3
85,4.6
86,4.4
87,4.4
88,3.9
89,4.5
90,4.2
91,4.6
92,4.7
93,4.3
94,4.0
95,3.9
96,4.4
97,4.1
98,4.1
99,4.4
100,3.9
101,4.3
102,4.4
103,3.8
104,4.5
105,4.3
106,4.3
107,4.4
108,4.7
109,4.6
110,4.6
111,4.2
112,4.4
113,4.5
114,4.4
115,4.4
116,4.6
117,4.2
118,4.3
119,4.3
120,4.4
121,4.2
122,4.2
123,3.8
124,4.4
125,4.5
126,4.6
127,4.6
128,4.6
129,4.4
130,3.8
131,4.6
132,4.2
133,3.2
134,4.5
135,3.9
136,4.2
137,4.7
138,4.1
139,4.5
140,4.2
141,4.4
142,4.3
143,4.0
144,4.8
145,4.5
146,4.2
147,3.9
148,4.5
149,4.7
150,4.8
151,3.7
152,4.7
153,4.4
154,4.2
155,4.1
156,4.3
157,4.1
158,3.8
159,4.7
160,4.2
161,4.7
162,4.0
163,4.7
164,4.5
165,4.8
166,3.8
167,4.1
168,4.4
169,4.4
170,4.0
171,4.3
172,4.1
173,4.0
174,4.5
175,3.0
176,4.7
177,4.1
178,4.5
179,4.7
180,4.4
181,4.9
182,4.6
183,4.2
184,4.0
185,3.8
186,4.4
187,4.4
188,4.5
189,4.3
190,4.4
191,4.9
192,3.7
193,4.2
194,4.7
195,2.8
196,4.5
197,4.4
198,3.3
199,4.6
200,4.5
201,4.8
202,4.1
203,4.5
204,4.3
205,4.5
206,4.3
207,4.3
208,4.7
209,4.1
210,4.4
211,4.6
212,4.6
213,4.3
214,4.3
215,4.4
216,4.3
217,4.3
218,4.7
219,4.5
220,4.5
221,4.7
222,4.3
223,4.0
224,4.0
225,4.5
226,4.2
227,4.2
228,4.1
229,4.3
230,4.5
231,4.2
232,4.7
233,4.9
234,4.6
235,3.8
236,3.6
237,4.5
238,4.2
239,4.1
240,4.3
241,3.2
242,3.6
243,4.5
244,4.3
245,3.6
246,3.9
247,4.4
248,4.2
249,4.4
250,4.3
251,4.7
252,4.2
253,4.4
254,4.5
255,3.7
256,4.8
257,4.2
258,3.8
259,4.7
260,4.4
261,4.1
262,4.5
263,3.7
264,4.1
265,4.6
266,4.3
267,4.2
268,4.6
269,4.7
270,4.8
271,4.3
272,4.1
273,4.3
274,4.1
275,3.5
276,4.6
277,4.0
278,4.1
279,3.9
280,4.0
281,4.8
282,4.5
283,4.2
284,4.7
285,4.7
286,4.0
287,3.9
288,4.6
289,3.8
290,3.6
291,4.0
292,4.4
293,3.6
294,4.7
295,4.0
296,3.8
297,4.1
298,4.1
299,4.8
300,3.0
301,4.1
302,5.0
303,4.6
304,3.5
305,4.8
306,4.3
307,4.8
308,4.5
