dataset,GoodReadsDatasets_SWTest/GoodReads_4845_309t
ALPHA,0.1
G_Size,5
Iteration Count,72
task_id,prediction_label
0,3.8000006471635075
1,3.799999998580841
2,3.6000000570822417
3,3.699996562529931
4,4.300000001466243
5,4.300000024815463
6,4.000015791446387
7,4.500000061363414
8,4.100023895406855
9,3.899999928114057
10,4.300024131779911
11,4.301021054430594
12,3.9000011420926644
13,3.9999998569568227
14,4.399989384733568
15,4.589734363488542
16,3.8012765127299906
17,3.6999970355425416
18,4.400000075967592
19,3.999999874473325
20,3.8000033990877045
21,3.99998052774227
22,3.8000000005410657
23,3.8999977837529034
24,3.9999973307790078
25,3.701232540997676
26,4.300093571055275
27,3.900000019301714
28,4.200005987591528
29,3.8001241985302046
30,3.7000209426743638
31,3.900013004618957
32,4.199826488915857
33,3.9000009466844925
34,4.000000364044682
35,3.8999999747663585
36,3.500775614914715
37,3.8999598243735725
38,3.7985187185019824
39,4.199999632775057
40,4.1000392554922245
41,3.8999999477875478
42,4.4998833072204665
43,4.081602714527304
44,4.100000484868479
45,4.599999831970289
46,4.40000014039405
47,4.4999992025375075
48,4.000000493976918
49,4.399996926328124
50,4.100005589781633
51,3.5999978173688247
52,3.9999998050200505
53,3.79987427593114
54,3.69995973044029
55,4.100000024898855
56,4.300000867267477
57,3.800000489750426
58,4.299999978663892
59,4.200000223843247
60,4.000000122872114
61,3.6999991688673126
62,3.7999465229555973
63,3.6000072252901436
64,3.700528296405985
65,4.199999989648241
66,3.700000244521627
67,3.5999979586290136
68,3.8008512065890345
69,3.8000041428988447
70,3.99999986896295
71,3.9984394772970187
72,3.909680983815132
73,3.799777613103565
74,3.89824677704424
75,3.6997734971276164
76,3.7985470051455854
77,3.900000954863081
78,3.7999987416738104
79,3.5998724109459848
80,4.099999869986303
81,3.7989737680410394
82,4.10000000271928
83,4.499993523915656
84,4.0997289361669855
85,4.1999997957790285
86,3.999998747553114
87,3.9999995871719776
88,3.887436466235995
89,4.598504323625602
90,3.9000031115944878
91,4.200003337504884
92,4.299903009062685
93,4.3007750014986685
94,3.400000001806776
95,3.701640688578889
96,4.09999998891319
97,3.599961598570139
98,3.8000010709708416
99,4.300150184649954
100,3.6044128821470607
101,4.000070364761388
102,4.400000117622641
103,4.300456989410287
104,3.801917220585972
105,4.099993751774683
106,4.099892453330248
107,4.2002193196428275
108,3.8000006100899792
109,4.00025884025703
110,4.198156832851451
111,3.8945700657703988
112,4.510380104283023
113,3.8008164218890577
114,3.598718834513809
115,4.300658342056669
116,4.599289271483071
117,4.0018296023303295
118,4.299626287185902
119,4.300663407093661
120,4.100193674410955
121,4.003258021474714
122,3.994954603544129
123,3.9037213842852716
124,4.116519898846365
125,4.491381007231476
126,3.9000139399991394
127,4.199999747422404
128,4.599999950905225
129,4.10000006289785
130,4.40018123214198
131,4.09997623311287
132,4.100000773355094
133,3.4000019373884247
134,4.4270663608796985
135,3.8671831085645887
136,4.100043452766968
137,3.800023942298269
138,3.9999999515426987
139,4.099724886641239
140,4.00000029244504
141,4.099993498775211
142,3.7957597220701658
143,4.38565746861154
144,4.300025485543366
145,4.205608443339854
146,3.852795062714346
147,4.099573682389307
148,4.000094964847001
149,4.000860049280025
150,3.7373947315950757
151,3.800041073114923
152,3.898156906738537
153,4.399288092990317
154,3.7943845108592638
155,3.600107692451407
156,4.300000286917231
157,3.9999999928029277
158,3.900001814365238
159,3.800000923522254
160,3.8999738857185795
161,3.9953727756083053
162,3.2000000021602375
163,4.199864927230061
164,4.599999999639019
165,4.599999373461959
166,3.50001826565569
167,4.400223277295058
168,4.297517322960186
169,3.900011791167642
170,3.900011142011596
171,3.799987833282774
172,3.900000606629224
173,3.500003383219444
174,3.899976106184071
175,3.9998440049339252
176,4.208257241582774
177,3.707756090611178
178,3.9616168852354483
179,4.399997398937745
180,3.799996989596173
181,3.6996642178810353
182,4.098258752013898
183,3.854083830636593
184,3.598611932011828
185,4.499853358164923
186,3.782532210151237
187,4.427821836153949
188,4.200114593525644
189,4.100000017845538
190,4.2974334232972975
191,4.599999997707263
192,4.299700725533794
193,4.299306221266503
194,3.796739628640471
195,3.7998075759521783
196,4.03286891746535
197,4.0623900581953905
198,4.30000536277543
199,3.8997424872640623
200,4.201091314677155
201,3.8075166169637273
202,4.100100344215548
203,3.820974070019484
204,4.099772807676078
205,3.987655169702023
206,4.199983915888557
207,3.71214039867546
208,4.39945639892026
209,4.34612912897716
