entity,num
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,5
16,5
17,5
18,5
19,
20,
21,
22,
23,5
24,
25,
26,
27,
28,5
29,
30,
31,
32,5
33,
34,
35,
36,
37,
38,5
39,
40,5
41,
42,
43,5
44,4
45,5
46,
47,
48,4
49,5
50,5
51,5
52,5
53,4
54,3
55,4
56,4
57,5
58,5
59,5
60,
61,5
62,5
63,
64,4
65,5
66,4
67,4
68,
69,3
70,5
71,5
72,4
73,5
74,5
75,5
76,
77,4
78,3
79,4
80,4
81,5
82,
83,4
84,4
85,4
86,4
87,5
88,5
89,5
90,4
91,
92,
93,4
94,5
95,
96,4
97,5
98,
99,
100,
101,4
102,5
103,4
104,4
105,5
106,4
107,
108,4
109,5
110,4
111,4
112,5
113,
114,5
115,3
116,
117,5
118,4
119,5
120,
121,5
122,2
123,
124,
125,
126,5
127,5
128,
129,
130,4
131,5
132,
133,
134,4
135,
136,3
137,4
138,5
139,4
140,5
141,4
142,
143,
144,
145,4
146,5
147,5
148,
149,4
150,4
151,5
152,5
153,
154,4
155,5
156,4
157,4
158,5
159,4
160,4
161,4
162,5
163,4
164,5
165,
166,
167,
168,
169,
170,
171,4
172,
173,5
174,5
175,5
176,
177,4
178,4
179,4
180,
181,
182,
183,
184,5
185,5
186,3
187,
188,5
189,3
190,4
191,4
192,
193,5
194,
195,3
196,2
197,4
198,
199,
200,5
201,3
