# 节点数  边数   ,145  535
45,93
45,138
45,51
45,113
7,36
7,91
7,138
7,142
7,27
7,92
7,72
7,28
7,113
7,134
81,93
114,93
114,127
114,28
114,73
114,140
114,113
114,130
114,134
76,69
105,93
105,130
137,93
137,138
137,113
137,130
77,51
77,73
77,113
77,134
77,89
37,130
22,51
22,89
91,93
35,8
35,16
35,104
68,93
68,117
68,141
68,115
63,93
63,113
96,36
96,91
96,127
96,142
96,69
96,92
96,72
96,132
96,73
96,140
96,113
96,134
96,89
4,93
4,91
4,138
4,51
4,127
4,27
4,92
4,28
4,132
4,79
4,73
4,113
4,130
4,89
127,82
127,134
108,91
108,35
108,28
9,93
9,27
9,69
9,92
9,113
95,138
95,134
128,35
128,27
128,141
128,133
128,28
128,73
29,51
29,89
84,138
84,142
84,73
84,134
49,51
49,89
142,84
142,86
142,64
38,133
38,72
38,79
38,134
15,113
102,135
102,140
116,51
116,126
116,89
111,51
47,138
47,51
47,134
8,93
8,91
8,35
8,138
8,51
8,141
8,126
8,89
125,113
31,69
31,122
31,133
31,83
31,57
31,113
31,130
65,51
65,73
139,51
139,73
139,113
86,72
86,89
117,138
117,51
117,72
117,32
123,36
123,127
123,72
123,32
123,73
123,130
0,138
0,51
0,73
0,113
0,89
82,93
82,51
82,127
82,135
82,32
82,73
82,113
82,134
82,89
27,7
27,93
27,4
27,69
27,119
27,87
27,21
27,64
16,35
16,28
129,51
129,113
1,93
1,113
94,138
94,73
94,130
94,134
61,135
61,73
61,140
69,93
69,51
69,102
69,31
69,27
69,87
69,72
69,10
69,135
69,107
69,2
69,113
69,134
118,51
118,133
118,113
118,134
124,130
124,89
48,138
48,113
48,134
11,134
33,138
33,51
33,98
33,92
33,113
62,51
144,138
39,138
39,51
39,141
98,58
98,134
14,91
14,142
14,92
14,72
14,28
14,126
14,79
14,73
14,140
14,113
122,51
122,113
122,134
122,89
34,93
34,51
34,49
34,123
34,124
34,55
34,10
34,13
34,134
34,110
71,92
71,72
99,138
99,51
99,113
99,134
119,93
119,138
119,51
119,69
119,72
92,7
92,4
92,69
92,131
92,72
92,50
92,66
92,60
92,2
92,21
92,110
92,100
92,23
131,127
131,141
131,92
131,72
55,133
133,31
133,55
133,2
133,30
133,130
87,69
87,134
72,69
72,92
72,131
72,64
17,37
17,51
17,113
17,130
83,103
101,92
101,113
101,121
28,4
28,108
28,128
28,86
28,16
28,124
28,50
28,10
28,24
28,104
28,58
28,143
28,110
126,22
126,35
126,116
126,74
126,2
50,92
10,93
10,36
10,91
10,35
10,130
10,134
52,92
66,138
66,51
66,92
66,72
66,135
66,134
132,96
132,134
79,22
79,115
79,130
79,104
79,58
79,110
79,109
20,93
20,138
20,98
20,113
135,87
135,66
135,113
24,36
24,91
24,51
24,127
24,142
24,92
24,28
24,126
24,79
24,73
24,113
24,130
78,27
78,92
78,72
78,89
57,31
57,113
32,36
32,127
32,117
32,123
32,82
32,39
32,55
32,10
32,143
32,110
32,112
70,51
70,113
60,93
60,91
60,138
60,51
60,141
60,92
60,28
60,113
80,51
80,113
107,93
107,138
107,51
107,113
2,69
2,92
2,133
2,140
97,134
21,93
21,138
21,27
21,92
21,113
106,126
106,113
59,138
59,51
59,126
59,73
59,140
59,113
59,134
59,89
73,93
73,128
73,65
73,82
73,58
5,138
5,51
140,102
140,131
12,28
12,130
6,93
6,51
6,126
42,113
13,92
85,51
85,113
41,140
41,134
115,135
30,93
30,133
54,138
54,69
54,141
64,138
64,27
64,92
64,72
130,94
130,124
130,133
130,17
46,93
46,51
46,141
46,140
46,113
46,134
104,91
104,35
104,138
104,92
104,133
104,28
104,79
104,73
43,91
43,51
43,141
43,97
43,113
43,134
121,111
121,86
121,94
121,133
121,87
121,2
121,115
121,130
121,134
25,138
25,51
25,32
25,113
25,89
56,69
56,73
56,140
56,113
56,134
58,28
58,79
58,73
58,113
3,93
3,91
3,79
3,32
143,32
143,130
134,93
134,38
134,117
134,82
134,106
134,64
110,92
110,28
110,32
110,140
110,130
112,32
112,73
100,92
23,91
23,138
23,51
23,142
23,92
23,28
23,79
23,73
23,140
23,113
23,130
23,103
90,93
90,91
90,127
90,141
90,73
90,134
26,138
26,113
89,29
89,49
89,82
89,92
89,113
89,115
109,138
109,51
136,93
136,138
136,51
136,113
