dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_5105w
ALPHA,0.1
G_Size,5
worker_id,worker_severity
0,-0.26782730152524964
1,-0.06346019547529032
2,-0.2560208886873584
3,0.05100092804472076
4,0.3623941607729052
5,-0.16257080814097968
6,0.0688885558443935
7,0.18264452333642273
8,0.3788434275005128
9,-0.3235041407088348
10,0.5650207815029918
11,-0.42070062865141056
12,-0.3490639453392772
13,0.42399250423145457
14,-0.016818288679923
15,-0.6850018937100945
16,-0.4899931260878154
17,-0.06884879212371611
18,0.14960954581593974
19,0.34544436162823283
20,0.29452957506560795
21,0.044872737298486946
22,0.01141302140038768
23,0.4417161133852421
24,0.7061676135389925
25,0.2980557212441135
26,-0.48726690504217557
27,0.44483683248150196
28,-0.46892195948493076
29,0.20685152018134528
30,0.5318288281453026
31,-0.17459556229587245
32,-0.08350420697593626
33,0.06641676623441324
34,-0.002376853083991524
35,0.2149355047370205
36,-1.0779336816854228
37,0.19618888548114205
38,0.2467462451270729
39,-0.1501874223756577
40,0.02426761364175165
41,0.027124343081987374
42,0.09581588956505555
43,0.10055845088721531
44,-0.8709594188560292
45,-0.595787023947005
46,0.20082786798099986
47,-1.1196808106119636
48,-0.6606928827738239
49,0.2561034817445156
50,-0.12791505327294206
51,-0.12670954592278108
52,-0.09693140367991314
53,-0.10816750841709555
54,0.34421629873398196
55,0.27189200142989717
56,-0.5014738629697326
57,-0.17959474042274495
58,-0.23249982845745712
59,0.3893216885865314
60,0.580576882640546
61,0.06343349979925338
62,-0.5112727437751102
63,0.11001012816787087
64,-0.13868484988912025
65,-0.11828614385479791
66,-0.5988796043783572
67,0.03230401797511129
68,0.1830628317502433
69,-0.6665875376075385
70,-0.19537305491223744
71,0.26245880098925467
72,-0.09530662280173424
73,0.04589181658861638
74,0.02504606530490468
75,0.22059955051000388
76,0.8579839725736736
77,0.5776479486548161
78,-0.1567321960233932
79,0.05028972761852115
80,-0.5342988349832523
81,0.8552579517738859
82,-0.8545723247492956
83,-0.5695150594733562
84,-0.14490445346176106
85,0.23563246344413438
86,-0.2648818076947878
87,-0.0033064200010360714
88,0.48219983196670246
89,-0.4484539874737536
90,0.22617344516957022
91,-0.29377812662820774
92,-0.5158411389544352
93,0.3253317371267139
94,0.06159191864634857
95,-0.528951225126275
96,0.39620870870363983
97,-0.34091728084329487
98,-0.0022996240511088265
99,-0.35772453373039087
100,-0.05709424488907813
101,0.17343697723980175
102,-0.01850299702309358
103,-0.49516368799454696
104,-0.22304294040008782
105,0.4272484006331618
106,0.21502322109542418
107,-0.32065353144093206
108,-0.0475080766756198
109,0.0045873463813510575
110,-0.9773809626036354
111,-0.9547430746579009
112,0.44499572920406805
113,0.476013113142012
114,-0.4037342458559982
115,-1.649651597228802
116,0.5016175849294334
117,0.17049349160256175
118,-0.1398548209111956
119,0.40142574069482223
120,0.5491156979672353
121,0.4399584356271626
122,0.7066642933261291
123,-0.27666915011247367
124,0.08796539233415271
125,0.325777837567441
126,-0.1789872852099462
127,-0.4983824150705666
128,0.45468488318837014
129,-0.1605508283387973
130,-1.4621738599452305
131,0.5908763228792098
132,0.2660659031445105
133,-0.9836331410547635
134,0.049835630079595634
135,-0.6681647444036736
136,-0.7454084032738791
137,0.5035771797534798
138,0.6258081939040454
139,0.5016175849294334
140,-0.11956247893833018
141,-0.13420211453877162
142,-1.4529889468261585
143,-0.8093729618378559
144,0.15462839208205476
145,-0.49838241507056663
146,-0.3914126076551666
147,0.31492649803506195
148,-0.06668327733043398
149,0.5094103070771355
150,-0.2518589596973654
151,0.014038466146170348
152,-0.5260480290022329
153,-0.9594859228655108
154,-0.2612124441497972
155,0.3636257360807315
156,-0.7852675671464164
157,-1.3833451876927434
158,0.7085672024972773
159,0.38153613676030473
160,-0.39990951985266715
161,0.2032352705091518
162,0.16829276458637066
163,-0.24539934335436478
164,-0.32245215830623525
165,-0.13246214981568855
166,0.4365467881084587
167,0.05623867422547405
168,0.1923050240543062
169,-0.041651475514535415
170,0.6215480691621842
171,0.20502090316249183
172,-0.1326226527546533
173,0.16608330459069176
174,-0.08753395617309398
175,-0.14734368048375046
176,-0.306380453052891
177,0.5898185945363822
178,-0.9704369438501058
179,-0.23218725016307837
180,-0.5830634156576577
181,-0.26679045988631156
182,0.3764314238291826
183,-0.995543101011375
184,0.003803079858669693
185,0.3832174123699483
186,-0.5835689057571155
187,-1.918541432751227
188,-0.6826002751261492
